ID,Author,Year_paper,Title,LontitudeE,LatitudeN,Province,Site,Rainfall[mm/year],Year_experiment,FieldType,Treatment,SamplingDepth[cm],SoilType,Soil_type_FAO1,Soil_type_FAO2,pH_h2o[],BulkDensity[g/cm3],SOM[g/kg],CEC[cmol/kg],clay[%],Silt[%],Sand[%],Alox[mg/kg],Feox[mg/kg],Fe[mmol/kg],Al[mmol/kg],Extractant,CaCO3[g/kg],CaM3[mmol/kg],WaterP[mg/kg],CaCl2P[mg/kg],OlsenP[mg/kg],OxalateP[mg/kg],BrayP[mg/kg],CALP[mg/kg],M3P[mg/kg],TotalP[mg/kg],Qmax,Qmax_Unit,KL,KLNEW,KL_Unit,KL_UnitNEW,EPC0[mg/L],MBC,MBC_eq,MBC_unit,PBC,PBC_eq,PBC_unit,MPBC,MPBC_eq,MPBC_unit,DPS[%],DPS_eq,DPS_unit,PAC,PAC_eq,PAC_unit,PSI,PSI_eq,EPC0,
43,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,3,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,880.74,1928.64,34.44,32.62,acid ammonium oxalate,,,,,,,,,37.2243,,501,mg/kg,0.025,0.025,L/mg,L/mg,,13,Smax*KL,L/kg,,,,,,,7.43,DPS = (M3P/Smax) × 100,%,,,,,,,
44,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,4,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,652.86,3012.24,53.79,24.18,acid ammonium oxalate,,,,,,,,,45.2886,,526,mg/kg,0.007,0.007,L/mg,L/mg,,4,Smax*KL,L/kg,,,,,,,8.61,DPS = (M3P/Smax) × 100,%,,,,,,,
45,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,5,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,975.24,2745.68,49.03,36.12,acid ammonium oxalate,,,,,,,,,38.2263,,501,mg/kg,0.024,0.024,L/mg,L/mg,,12,Smax*KL,L/kg,,,,,,,7.63,DPS = (M3P/Smax) × 100,%,,,,,,,
46,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,6,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,875.88,3039.12,54.27,32.44,acid ammonium oxalate,,,,,,,,,23.6785,,667,mg/kg,0.083,0.083,L/mg,L/mg,,56,Smax*KL,L/kg,,,,,,,3.55,DPS = (M3P/Smax) × 100,%,,,,,,,
47,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,7,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,935.28,5669.44,101.24,34.64,acid ammonium oxalate,,,,,,,,,35.8679,,1429,mg/kg,0.082,0.082,L/mg,L/mg,,118,Smax*KL,L/kg,,,,,,,2.51,DPS = (M3P/Smax) × 100,%,,,,,,,
48,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,8,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,1230.93,4782.96,85.41,45.59,acid ammonium oxalate,,,,,,,,,56.1762,,909,mg/kg,0.1,0.1,L/mg,L/mg,,91,Smax*KL,L/kg,,,,,,,6.18,DPS = (M3P/Smax) × 100,%,,,,,,,
49,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,9,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,1108.62,3564.96,63.66,41.06,acid ammonium oxalate,,,,,,,,,20.1042,,918,mg/kg,0.079,0.079,L/mg,L/mg,,73,Smax*KL,L/kg,,,,,,,2.19,DPS = (M3P/Smax) × 100,%,,,,,,,
50,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,10,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,685.26,1811.6,32.35,25.38,acid ammonium oxalate,,,,,,,,,18.6984,,588,mg/kg,0.052,0.052,L/mg,L/mg,,31,Smax*KL,L/kg,,,,,,,3.18,DPS = (M3P/Smax) × 100,%,,,,,,,
51,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,11,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,686.34,4207.84,75.14,25.42,acid ammonium oxalate,,,,,,,,,62.317,,1010,mg/kg,0.101,0.101,L/mg,L/mg,,102,Smax*KL,L/kg,,,,,,,6.17,DPS = (M3P/Smax) × 100,%,,,,,,,
52,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,12,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,826.47,4909.52,87.67,30.61,acid ammonium oxalate,,,,,,,,,15.375,,1250,mg/kg,0.14,0.14,L/mg,L/mg,,143,Smax*KL,L/kg,,,,,,,1.23,DPS = (M3P/Smax) × 100,%,,,,,,,
53,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,13,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,623.43,1584.24,28.29,23.09,acid ammonium oxalate,,,,,,,,,35.2785,,435,mg/kg,0.057,0.057,L/mg,L/mg,,25,Smax*KL,L/kg,,,,,,,8.11,DPS = (M3P/Smax) × 100,%,,,,,,,
54,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,14,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,762.48,2578.24,46.04,28.24,acid ammonium oxalate,,,,,,,,,12.4117,,833,mg/kg,0.096,0.096,L/mg,L/mg,,80,Smax*KL,L/kg,,,,,,,1.49,DPS = (M3P/Smax) × 100,%,,,,,,,
55,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,15,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,1521.72,3856.72,68.87,56.36,acid ammonium oxalate,,,,,,,,,33.2694,,909,mg/kg,0.059,0.059,L/mg,L/mg,,53,Smax*KL,L/kg,,,,,,,3.66,DPS = (M3P/Smax) × 100,%,,,,,,,
56,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,16,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,786.24,3682,65.75,29.12,acid ammonium oxalate,,,,,,,,,29.6888,,1003,mg/kg,0.041,0.041,L/mg,L/mg,,41,Smax*KL,L/kg,,,,,,,2.96,DPS = (M3P/Smax) × 100,%,,,,,,,
57,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,17,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,1280.61,6137.04,109.59,47.43,acid ammonium oxalate,,,,,,,,,33.2957,,1429,mg/kg,0.079,0.079,L/mg,L/mg,,112,Smax*KL,L/kg,,,,,,,2.33,DPS = (M3P/Smax) × 100,%,,,,,,,
58,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,18,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,1095.39,1233.68,22.03,40.57,acid ammonium oxalate,,,,,,,,,25.6872,,556,mg/kg,0.051,0.051,L/mg,L/mg,,28,Smax*KL,L/kg,,,,,,,4.62,DPS = (M3P/Smax) × 100,%,,,,,,,
59,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,19,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,1023.57,3799.04,67.84,37.91,acid ammonium oxalate,,,,,,,,,56.3592,,1021,mg/kg,0.075,0.075,L/mg,L/mg,,77,Smax*KL,L/kg,,,,,,,5.52,DPS = (M3P/Smax) × 100,%,,,,,,,
60,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,20,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,723.6,3175.2,56.7,26.8,acid ammonium oxalate,,,,,,,,,38.1851,,997,mg/kg,0.075,0.075,L/mg,L/mg,,74,Smax*KL,L/kg,,,,,,,3.83,DPS = (M3P/Smax) × 100,%,,,,,,,
61,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,21,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,1125.63,2431.52,43.42,41.69,acid ammonium oxalate,,,,,,,,,18.7254,,909,mg/kg,0.06,0.06,L/mg,L/mg,,54,Smax*KL,L/kg,,,,,,,2.06,DPS = (M3P/Smax) × 100,%,,,,,,,
62,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,22,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,814.86,1759.52,31.42,30.18,acid ammonium oxalate,,,,,,,,,59.6904,,714,mg/kg,0.039,0.039,L/mg,L/mg,,28,Smax*KL,L/kg,,,,,,,8.36,DPS = (M3P/Smax) × 100,%,,,,,,,
63,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,23,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,738.72,1928.64,34.44,27.36,acid ammonium oxalate,,,,,,,,,60.214,,476,mg/kg,0.043,0.043,L/mg,L/mg,,21,Smax*KL,L/kg,,,,,,,12.65,DPS = (M3P/Smax) × 100,%,,,,,,,
64,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,24,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,956.34,1658.16,29.61,35.42,acid ammonium oxalate,,,,,,,,,56.3784,,556,mg/kg,0.075,0.075,L/mg,L/mg,,42,Smax*KL,L/kg,,,,,,,10.14,DPS = (M3P/Smax) × 100,%,,,,,,,
65,Wenzhi Liu,2010,Phosphorus sorption and desorption characteristics of wetland soils from a subtropical reservoir,111.4,33.2,Hubei,Danjiangkou Reservoir,804,2007,cropland,25,0-10,alluvial soil,Fluvisols,Fluvisols,,,,,,,,758.43,2013.2,35.95,28.09,acid ammonium oxalate,,,,,,,,,,,714,mg/kg,0.092,0.092,L/mg,L/mg,,,Smax*KL,L/kg,,,,,,,7.32,DPS = (M3P/Smax) × 100,%,,,,,,,
66,"Shao, Xinghua",2012,Effect of Flooding Time on Phosphate Adsorption Desorption Characteristics of Two Acid Soils,115.91,30.7,Jiangxi,,,,cropland,,,Ultisol,Ferrosols,Ferrosols,4.46,,5.1,40,4.03,,,,410.6,7.332142857,,acid ammonium oxalate,,,,,7.31,18,,,,143,667,mg/kg,0.129,0.129,L/mg,L/mg,,86.043,,,,,,,,,,,,,,,,,,
67,"Shao, Xinghua",2012,Effect of Flooding Time on Phosphate Adsorption Desorption Characteristics of Two Acid Soils,115.91,30.7,Jiangxi,,,,cropland,,,Entisol,Inceptisols,Inceptisols,6.43,,34.3,40,4.85,,,,6284.6,112.225,,acid ammonium oxalate,,,,,133.68,424,,,,521,1190,mg/kg,0.181,0.181,L/mg,L/mg,,215.39,,,,,,,,,,,,,,,,,,
68,"Sun, Tianyu",2020,Characteristics of phosphorus adsorption and desorption in erosive weathered granite area and effects of soil properties,119.32,30.59,zhejiang,Anji,1460,,natural,,0-15,acid red soil,Ferralosols,Ferralosols,6.17,,5.5,,19,,,6570,2700,48.21428571,243.3333333,acid ammonium oxalate,,,,,114,,,,,2200,356.405,mg/kg,0.048,0.048,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
69,"Sun, Tianyu",2020,Characteristics of phosphorus adsorption and desorption in erosive weathered granite area and effects of soil properties,119.32,30.59,zhejiang,Anji,1460,,natural,,15-30,acid red soil,Ferralosols,Ferralosols,5.77,,4.8,,20.3,,,7260,2200,39.28571429,268.8888889,acid ammonium oxalate,,,,,102.2,,,,,1900,293.677,mg/kg,0.025,0.025,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
70,"Sun, Tianyu",2020,Characteristics of phosphorus adsorption and desorption in erosive weathered granite area and effects of soil properties,119.32,30.59,zhejiang,Anji,1460,,natural,,0-15,acid red soil,Ferralosols,Ferralosols,4.56,,10.9,,11.6,,,6390,2300,41.07142857,236.6666667,acid ammonium oxalate,,,,,105.7,,,,,1500,467.433,mg/kg,0.046,0.046,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
71,"Sun, Tianyu",2020,Characteristics of phosphorus adsorption and desorption in erosive weathered granite area and effects of soil properties,119.32,30.59,zhejiang,Anji,1460,,natural,,15-30,acid red soil,Ferralosols,Ferralosols,4.26,,2.6,,11.7,,,5910,2550,45.53571429,218.8888889,acid ammonium oxalate,,,,,81.7,,,,,1600,349.809,mg/kg,0.045,0.045,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
72,"Sun, Tianyu",2020,Characteristics of phosphorus adsorption and desorption in erosive weathered granite area and effects of soil properties,119.32,30.59,zhejiang,Anji,1460,,natural,,0-15,acid red soil,Ferralosols,Ferralosols,6.02,,11.8,,8.7,,,2230,2260,40.35714286,82.59259259,acid ammonium oxalate,,,,,15.8,,,,,500,236.457,mg/kg,0.043,0.043,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
73,"Sun, Tianyu",2020,Characteristics of phosphorus adsorption and desorption in erosive weathered granite area and effects of soil properties,119.32,30.59,zhejiang,Anji,1460,,natural,,15-30,acid red soil,Ferralosols,Ferralosols,6.14,,3,,8.2,,,1870,2050,36.60714286,69.25925926,acid ammonium oxalate,,,,,7.2,,,,,300,215.852,mg/kg,0.026,0.026,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
74,"Wang, Guo-Ping",2007,"Phosphorus sorption by freeze–thaw treated wetland soils derived from a winter-cold zone (Sanjiang Plain, Northeast China)",133.56,47.75,Helongjiang,Jiamusi,550-600,2003,freshwater wetlands,15°,0-20,,Phaeozems,Phaeozems,6,,63.788,,75.4,,,,,,,,,,,,135,,,,,1224,1905,mg/kg,0.36,0.36,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
75,"Wang, Guo-Ping",2007,"Phosphorus sorption by freeze–thaw treated wetland soils derived from a winter-cold zone (Sanjiang Plain, Northeast China)",133.56,47.75,Helongjiang,Jiamusi,550-600,2003,freshwater wetlands,15°,0-20,,Phaeozems,Phaeozems,5.8,,27.584,,72.7,,,,,,,,,,,,179,,,,,1358,1751,mg/kg,0.29,0.29,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
76,"Wang, Guo-Ping",2007,"Phosphorus sorption by freeze–thaw treated wetland soils derived from a winter-cold zone (Sanjiang Plain, Northeast China)",133.76,47.26,Helongjiang,Shuangyashan,550-600,2003,freshwater wetlands,15°,0-20,,Phaeozems,Phaeozems,5.6,,84.476,,83.1,,,,,,,,,,,,39,,,,,507,2463,mg/kg,0.16,0.16,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
77,"Wang, Guo-Ping",2007,"Phosphorus sorption by freeze–thaw treated wetland soils derived from a winter-cold zone (Sanjiang Plain, Northeast China)",133.56,47.75,Helongjiang,Jiamusi,550-600,2003,freshwater wetlands,25°,0-20,,Phaeozems,Phaeozems,6,,63.788,,75.4,,,,,,,,,,,,135,,,,,1224,2169,mg/kg,0.3,0.3,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
78,"Wang, Guo-Ping",2007,"Phosphorus sorption by freeze–thaw treated wetland soils derived from a winter-cold zone (Sanjiang Plain, Northeast China)",133.56,47.75,Helongjiang,Jiamusi,550-600,2003,freshwater wetlands,25°,0-20,,Phaeozems,Phaeozems,5.8,,27.584,,72.7,,,,,,,,,,,,179,,,,,1358,2151,mg/kg,0.17,0.17,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
79,"Wang, Guo-Ping",2007,"Phosphorus sorption by freeze–thaw treated wetland soils derived from a winter-cold zone (Sanjiang Plain, Northeast China)",133.76,47.26,Helongjiang,Shuangyashan,550-600,2003,freshwater wetlands,25°,0-20,,Phaeozems,Phaeozems,5.6,,84.476,,83.1,,,,,,,,,,,,39,,,,,507,2379,mg/kg,0.12,0.12,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
80,"Wang, Xiao-Yun",2013,Phosphorus Adsorption by Soils from Four Land Use Patterns,119.67,30.63,zhejiang,"Anji,Zhejiang",,,Chinese chestnut woodland,,01-Oct,acid red soil,Ferralosols,Ferralosols,6.07,,19.61,14.32,12.17,32.37,55.46,71,450,8.035714286,2.62962963,acid ammonium oxalate,,,,,16.92,,,,,,91.26,mg/kg,1.21,1.21,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
81,"Wang, Xiao-Yun",2013,Phosphorus Adsorption by Soils from Four Land Use Patterns,119.67,30.63,zhejiang,"Anji,Zhejiang",,,Phyllostachys edulis woodland,,01-Oct,acid red soil,Ferralosols,Ferralosols,6.45,,23.2,17.01,12.1,35.42,52.48,50,570,10.17857143,1.851851852,acid ammonium oxalate,,,,,20.67,,,,,,71.72,mg/kg,2.16,2.16,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
82,"Wang, Xiao-Yun",2013,Phosphorus Adsorption by Soils from Four Land Use Patterns,119.67,30.63,zhejiang,"Anji,Zhejiang",,,paddy rice cropland,,01-Oct,acid red soil,Ferralosols,Ferralosols,7.45,,26.39,14.6,42.76,41.08,16.16,370,830,14.82142857,13.7037037,acid ammonium oxalate,,,,,14.73,,,,,,325.11,mg/kg,0.98,0.98,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
83,"Wang, Xiao-Yun",2013,Phosphorus Adsorption by Soils from Four Land Use Patterns,119.67,30.63,zhejiang,"Anji,Zhejiang",,,vegetable farmland,,01-Oct,acid red soil,Ferralosols,Ferralosols,4.48,,25.21,16.12,33.23,44.08,22.69,100,950,16.96428571,3.703703704,acid ammonium oxalate,,,,,23.5,,,,,,185.96,mg/kg,2.68,2.68,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
84,"Brenner, Julia",2019,Phosphorus sorption on tropical soils with relevance to Earth system model needs,112.83,22.57,"Guandong Province, China","Hashan National Field Research Station of Forest Ecosystems,",1700,,,,0-5,,Ferralosols,Ferralosols,3.66,,0.337904,,16.11,27.87,56.02,1099.715894,2695.562378,,,DCB,,,,,,,,,,230,1556.8,mg/kg,0.015,0.015,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
85,"Brenner, Julia",2019,Phosphorus sorption on tropical soils with relevance to Earth system model needs,112.83,22.57,"Guandong Province, China","Hashan National Field Research Station of Forest Ecosystems,",1700,,,,5`10,,Ferralosols,Ferralosols,4.12,,0.291356,,15.56,37.77,46.66,494.7336587,331.0838664,,,DCB,,,,,,,,,,190,1228.8,mg/kg,0.067,0.067,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
86,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,Liaoning Province ,Panjin City,634,,cropland,,0-20, Calcareous Paddy Soil,Anthrosols,Anthrosols,9.22,,8.41,,25.82,,,1040,1400,25,38.51851852,acid ammonium oxalate,,,,,11.6,,,,,421,520.67,mg/kg,0.241,0.241,L/mg,L/mg,2.82,,,,,,,,,,2.23,DPS=olsenP/Smax,%,,,,,,,
87,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,Liaoning Province ,"Panjin City, Liaoning Province ",634,,cropland,,0-20, Calcareous Paddy Soil,Anthrosols,Anthrosols,8.08,,12.85,,21.85,,,1400,2610,46.60714286,51.85185185,acid ammonium oxalate,,,,,42.1,,,,,554,545.67,mg/kg,0.226,0.226,L/mg,L/mg,15.88,,,,,,,,,,7.72,DPS=olsenP/Smax,%,,,,,,,
88,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,Liaoning Province ,"Panjin City, Liaoning Province ",634,,cropland,,0-20, Calcareous Paddy Soil,Anthrosols,Anthrosols,8.3,,15.55,,25.18,,,2120,2730,48.75,78.51851852,acid ammonium oxalate,,,,,28.1,,,,,599,662.78,mg/kg,0.314,0.314,L/mg,L/mg,6.7,,,,,,,,,,4.24,DPS=olsenP/Smax,%,,,,,,,
89,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,Liaoning Province ,"Panjin City, Liaoning Province ",634,,cropland,,0-20, Calcareous Paddy Soil,Anthrosols,Anthrosols,8.2,,20.55,,31.92,,,2870,2710,48.39285714,106.2962963,acid ammonium oxalate,,,,,19.9,,,,,612,860.79,mg/kg,0.42,0.42,L/mg,L/mg,4.99,,,,,,,,,,2.31,DPS=olsenP/Smax,%,,,,,,,
90,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,Liaoning Province ,"Panjin City, Liaoning Province ",634,,cropland,,0-20, Calcareous Paddy Soil,Anthrosols,Anthrosols,8.14,,19.05,,28.59,,,2910,2560,45.71428571,107.7777778,acid ammonium oxalate,,,,,24.8,,,,,681,834.45,mg/kg,0.377,0.377,L/mg,L/mg,4.99,,,,,,,,,,2.91,DPS=olsenP/Smax,%,,,,,,,
91,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,106.39,29.94,Chongqing,Beibei,,,cropland,soil organo-mineral colloidal complexes,0-20,yellow purple paddy soil,Inceptisols,Inceptisols,,,29.2,58.6,21,,,840.871,3911.788,,,??,,,,,,,,,,,2167,mg/kg,0.0157,0.0157,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
92,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,106.39,29.94,Chongqing,Beibei,,,cropland,soil organo-mineral colloidal complexes,0-20,grey purple paddy soil,Inceptisols,Inceptisols,,,38.2,55.9,21,,,889.546,4153.408,,,??,,,,,,,,,,,2444.7,mg/kg,0.0173,0.0173,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
93,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,106.39,29.94,Chongqing,Beibei,,,cropland,partial organic matter removed,0-20,grey purple paddy soil,Inceptisols,Inceptisols,,,26.8,34,21,,,988.275,3232.258,,,??,,,,,,,,,,,3026.4,mg/kg,0.011,0.011,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
94,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,105.65,31.09,Sichaun,Suining,,,cropland,soil organo-mineral colloidal complexes,0-20,red brown purple paddy soil,Inceptisols,Inceptisols,,,32,54.6,17,,,529.273,3890.698,,,??,,,,,,,,,,,3273.2,mg/kg,0.0556,0.0556,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
95,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,105.65,31.09,Sichaun,Suining,,,cropland,soil organo-mineral colloidal complexes,0-20,red brown paddy soil,Inceptisols,Inceptisols,,,23.7,42.9,17,,,546.0585,3765.408,,,??,,,,,,,,,,,2804.2,mg/kg,0.0205,0.0205,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
96,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,105.65,31.09,Sichaun,Suining,,,cropland,partial organic matter removed,0-20,red brown paddy soil,Anthrosols,Anthrosols,,,15.3,62,17,,,481.8125,3104.808,,,??,,,,,,,,,,,3301.1,mg/kg,0.054,0.054,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
97,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,104.65,28.77,Sichaun,Yibin,,,cropland,soil organo-mineral colloidal complexes,0-20,red sandy loam paddy soil,Anthrosols,Anthrosols,,,38.9,28.7,43,,,3280.1265,3764.178,,,??,,,,,,,,,,,1596.1,mg/kg,0.0531,0.0531,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
98,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,104.65,28.77,Sichaun,Yibin,,,cropland,partial organic matter removed,0-20,red sandy loam paddy soil,Anthrosols,Anthrosols,,,14.4,21,43,,,3461.969,2779.608,,,??,,,,,,,,,,,2533.9,mg/kg,0.0313,0.0313,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
99,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,104.65,28.77,Sichaun,Yibin,,,cropland,soil organo-mineral colloidal complexes,0-20,red sandy paddy soil,Anthrosols,Anthrosols,,,40.3,30.7,43,,,3962.0875,3843.638,,,??,,,,,,,,,,,2395,mg/kg,0.0779,0.0779,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
100,"Gao, Ming",2002,Characteristics of phosphorous adsorption and desorption by organo-mineral colloidal complexes of purple paddy soils,104.65,28.77,Sichaun,Yibin,,,cropland,partial organic matter removed,0-20,red sandy paddy soil,Anthrosols,Anthrosols,,,15.7,21,43,,,4331.6985,2936.558,,,??,,,,,,,,,,,2642.7,mg/kg,0.0479,0.0479,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
101,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.27,31.52, Zhejiang,Wuli lake,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,5.5,,14.2,15,,,,,,,,,,,,,,,,,,336,235.3,mg/kg,0.3772,0.3772,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
102,Shengrui Wang,2005,The study of the effect ofpH on phosphate sorption by different trophic lake sediments,120.26,31.42, Zhejiang,GonghuLAKE,,2003,trophic sediments,,0-10,,Fluvisols,Fluvisols,5.5,,18.7,13,,,,,,,,,,,,,,,,,,451,133.5,mg/kg,0.688,0.688,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
