ID,Author,Year_paper,Title,LontitudeE,LatitudeN,Province,Site,Rainfall[mm/year],Year_experiment,FieldType,Treatment,SamplingDepth[cm],SoilType,Soil_type_FAO1,Soil_type_FAO2,pH_h2o[],BulkDensity[g/cm3],SOM[g/kg],CEC[cmol/kg],clay[%],Silt[%],Sand[%],Alox[mg/kg],Feox[mg/kg],Fe[mmol/kg],Al[mmol/kg],Extractant,CaCO3[g/kg],CaM3[mmol/kg],WaterP[mg/kg],CaCl2P[mg/kg],OlsenP[mg/kg],OxalateP[mg/kg],BrayP[mg/kg],CALP[mg/kg],M3P[mg/kg],TotalP[mg/kg],Qmax,Qmax_Unit,KL,KLNEW,KL_Unit,KL_UnitNEW,EPC0[mg/L],MBC,MBC_eq,MBC_unit,PBC,PBC_eq,PBC_unit,MPBC,MPBC_eq,MPBC_unit,DPS[%],DPS_eq,DPS_unit,PAC,PAC_eq,PAC_unit,PSI,PSI_eq,EPC0,
11,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,121.27,30.38,zhejiang,Cixi,1587,,single-crop rice,Cultivation ag300,0-17,Hapi-Stagnic Anthrosol,Anthrosols,Anthrosols,6.51,,42.56556,,12.9,,,1750,7390,131.9642857,64.81481481,acid ammonium oxalate,0.41,,,,,,,,,,248,mg/kg,0.157,0.157,L/mg,L/mg,0.286,38.936,Smax*KL,mL/g,,,,,,,89,DPS = PT/(Smax + Ptotal),%,,,,,,,
12,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,121.27,30.38,zhejiang,Cixi,1587,,single-crop rice,Cultivation age700,0-15,Fe-lechi-Stagnic Anthrosol,Anthrosols,Anthrosols,6.26,,32.25604,,12.3,,,1550,7650,136.6071429,57.40740741,acid ammonium oxalate,,,,,,,,,,,243,mg/kg,0.318,0.318,L/mg,L/mg,0.105,77.274,Smax*KL,mL/g,,,,,,,86,DPS = PT/(Smax + Ptotal),%,,,,,,,
13,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,121.27,30.38,zhejiang,Cixi,1587,,single-crop rice,Cultivation age1000,0-16,Fe-accumuli-Stagnic Anthrosol,Anthrosols,Anthrosols,6.76,,24.53252,,13.3,,,1310,6150,109.8214286,48.51851852,acid ammonium oxalate,,,,,,,,,,,235,mg/kg,0.126,0.126,L/mg,L/mg,0.391,29.61,Smax*KL,mL/g,,,,,,,87,DPS = PT/(Smax + Ptotal),%,,,,,,,
14,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,116.25,28.61,Jiangxi ,Jinxian,1587,,"double-crop rice,",origional soil,0-12,Argi-UdicFerrosols,Anthrosols,Anthrosols,4.7,,14.9988,,30.4,,,1850,8700,155.3571429,68.51851852,acid ammonium oxalate,,,,,,,,,,,1550,mg/kg,0.277,0.277,L/mg,L/mg,0.002,429.35,Smax*KL,mL/g,,,,,,,32,DPS = PT/(Smax + Ptotal),%,,,,,,,
15,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,116.25,28.61,Jiangxi ,Jinxian,1587,,"double-crop rice,",Cultivation age60,0-10,Fe-accumuli-StagnicAnthrosol,Anthrosols,Anthrosols,4.86,,33.23872,,15.6,,,970,4150,74.10714286,35.92592593,acid ammonium oxalate,,,,,,,,,,,440,mg/kg,0.242,0.242,L/mg,L/mg,0.083,106.48,Smax*KL,mL/g,,,,,,,74,DPS = PT/(Smax + Ptotal),%,,,,,,,
16,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,116.25,28.61,Jiangxi ,Jinxian,1587,,"double-crop rice,",Cultivation age150,0-11,Fe-accumuli-StagnicAnthrosol,Anthrosols,Anthrosols,5.4,,26.91164,,20.9,,,1440,5160,92.14285714,53.33333333,acid ammonium oxalate,,,,,,,,,,,627,mg/kg,0.138,0.138,L/mg,L/mg,0.084,86.526,Smax*KL,mL/g,,,,,,,78,DPS = PT/(Smax + Ptotal),%,,,,,,,
17,Lai-Ming Huang,2014,Long-term paddy cultivation significantly alters topsoil phosphorus transformation and degrades phosphorus sorption capacity,116.25,28.61,Jiangxi ,Jinxian,1587,,"double-crop rice,",Cultivation age300,0-10,Fe-accumuli-StagnicAnthrosol,Anthrosols,Anthrosols,5.93,,41.27256,,18.7,,,1130,4880,87.14285714,41.85185185,acid ammonium oxalate,,,,,,,,,,,458,mg/kg,0.192,0.192,L/mg,L/mg,0.142,87.936,Smax*KL,mL/g,,,,,,,74,DPS = PT/(Smax + Ptotal),%,,,,,,,
18,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,Forestland,1,0-15,acid purple soils,Inceptisols,Inceptisols,4.6,,14,,28.5,,,1008,2149.2,38.37857143,37.33333333,acid ammonium oxalate,150,32.2,,,,,,,24,,1280,mg/kg,0.14,0.14,L/mg,L/mg,,,,,,,,,,,1.875,DPS = (M3P/Smax) × 100,%,,,,592,PSI = Q/(log C),,
19,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,Forestland,2,0-15,acid purple soils,Inceptisols,Inceptisols,4.8,,9.43,,22.4,,,890.4,1533.6,27.38571429,32.97777778,acid ammonium oxalate,150,49.2,,,,,,,42,,915,mg/kg,0.05,0.05,L/mg,L/mg,,,,,,,,,,,4.590163934,DPS = (M3P/Smax) × 101,%,,,,343,PSI = Q/(log C),,
20,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,Sichuan,,,,Forestland,3,0-15,acid purple soils,Inceptisols,Inceptisols,3.7,,58.3,,23,,,4093.6,2308.5,41.22321429,151.6148148,acid ammonium oxalate,150,5.01,,,,,,,0.93,,1556,mg/kg,0.105,0.105,L/mg,L/mg,,,,,,,,,,,0.059768638,DPS = (M3P/Smax) × 102,%,,,,681,PSI = Q/(log C),,
