ID_new,ID,Author,year,title,longtitude,latitude,longtitude_temp,latitude_temp,province,site,depth,annual mean precipitation,annual mean temperature,landuse type,field type,soil type,soil_ty temp,soilty_usda,reference,ph,ph_extractant,som,som_unit,soc,soc_unit,tc,tc_unit,clay,clay_hwsd,silt,sand,caco3[g/kg],Alox[mg/kg],Feox[mg/kg],Pox[mg/kg],ref,pcacl2,pcacl2_unit,polsen[mg/kg],ptotal[g/kg],Qmax[mg/kg],Qmax_unit,KL[L/mg],KL_unit,
227,227,Lidong Huang,2016,Laboratory study of phosphorus retention and release by eutrophic lake sediments: Modeling and implications for P release assessments,,,,,,Taihu lake(leiliangwan),0-15,,,sediment,,,,other,,,,16.4,g/kg,,,,,,,,,,3200,8100,309.1,Danen-Louwerse 1993,,,,0.7688,698.8,mg/kg,0.5,L/mg,no ph data
228,228,Lidong Huang,2016,Laboratory study of phosphorus retention and release by eutrophic lake sediments: Modeling and implications for P release assessments,,,,,,Taihu lake(leiliangwan),0-15,,,sediment,,,,other,,,,14.4,g/kg,,,,,,,,,,1800,11600,421.1,Danen-Louwerse 1993,,,,0.756,610.4,mg/kg,0.5,L/mg,no ph data
229,229,Lidong Huang,2016,Laboratory study of phosphorus retention and release by eutrophic lake sediments: Modeling and implications for P release assessments,,,,,,Taihu lake(leiliangwan),0-15,,,sediment,,,,other,,,,14.9,g/kg,,,,,,,,,,2200,10600,545.9,Danen-Louwerse 1993,,,,0.8206,796.2,mg/kg,0.3,L/mg,no ph data
230,230,Lidong Huang,2016,Laboratory study of phosphorus retention and release by eutrophic lake sediments: Modeling and implications for P release assessments,,,,,,Taihu lake(leiliangwan),0-15,,,sediment,,,,other,,,,14,g/kg,,,,,,,,,,2900,10600,354.5,Danen-Louwerse 1993,,,,0.6267,702.1,mg/kg,1.1,L/mg,no ph data
231,231,Lidong Huang,2016,Laboratory study of phosphorus retention and release by eutrophic lake sediments: Modeling and implications for P release assessments,,,,,,Taihu lake(leiliangwan),0-15,,,sediment,,,,other,,,,11.5,g/kg,,,,,,,,,,1500,8700,297.7,Danen-Louwerse 1993,,,,0.5492,624.6,mg/kg,0.5,L/mg,no ph data
232,232,Linqing Wang,2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,116.21,40.05,,,Beijing,"Fangshan district, Beijing city",0-25,,,arable,,Luvisols,,Alfisols,,8.1,h2o,19.5,g/kg,,,,,22.84,,40.39,36.77,30.22,869.92,1012.87,,Loeppert and Inskeep 1996,,,21.56,,459.14,mg/kg,0.101,ug/ml,
233,233,Linqing Wang,2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,106.07,31.41,,,Sichuan,"Nanchong city, Sichan Province",0-25,,,arable,,Inceptisols,,Inceptisols,,7.8,h2o,8.7,g/kg,,,,,21.34,,31.58,47.08,0.43,611.48,973.18,,Loeppert and Inskeep 1996,,,4.12,,446.03,mg/kg,0.084,ug/ml,
234,234,Linqing Wang,2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,125.82,49.55,,,Heilongjiang,"Nenjiang city, Heilongjiang Province",0-25,,,arable,,Phaeozems,,Mollisols,,5.8,h2o,36.9,g/kg,,,,,28.53,,38.64,32.83,2.71,1785.39,1522.36,,Loeppert and Inskeep 1996,,,18.22,,538.21,mg/kg,0.144,ug/ml,
235,235,Linqing Wang,2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,109.76,38.31,,,Shaanxi,"Yulin city, Shaanxi Province",0-25,,,arable,,Inceptisols,,Entisols,,8.3,h2o,4.9,g/kg,,,,,19.34,,32.12,48.54,87.29,869.26,732.43,,Loeppert and Inskeep 1996,,,5.15,,419.11,mg/kg,0.083,ug/ml,
236,236,Linqing Wang,2014,Effects of exogenous rare earth elements on phosphorus adsorption and desorption in different types of soils,118.19,25.06,,,Fujian,"Anxi city, Fujian Province",0-25,,,arable,,Ferralosols,,Ultisols,,5.2,h2o,52.4,g/kg,,,,,40.27,,49.52,10.21,0.24,1146.32,1322.86,,Loeppert and Inskeep 1996,,,2.72,,741.84,mg/kg,0.113,ug/ml,
237,237,Longzhou,2022,Effect of Different Types of Phosphate Fertilizer on Phosphorus Absorption and Desorption in Acidic Red Soil of Southwest China,102.68,24.9,,,Yunnan,Kunming,0-20,,,cropland,maize,Ferralsol,,Oxisols,USDA,4.4,h2o,4.3,g/kg,,,,,,,,,1.75,,,,,,,,0.21,626.5,mg/kg,0.37,L/mg,
238,238,Longzhou,2022,Effect of Different Types of Phosphate Fertilizer on Phosphorus Absorption and Desorption in Acidic Red Soil of Southwest China,102.68,24.9,,,Yunnan,Kunming,0-20,,,cropland,maize,Ferralsol,,Oxisols,USDA,4.6,h2o,5.5,g/kg,,,,,,,,,2.68,,,,,,,,0.54,588.4,mg/kg,0.07,L/mg,
239,239,Longzhou,2022,Effect of Different Types of Phosphate Fertilizer on Phosphorus Absorption and Desorption in Acidic Red Soil of Southwest China,102.68,24.9,,,Yunnan,Kunming,0-20,,,cropland,maize,Ferralsol,,Oxisols,USDA,4.7,h2o,5.7,g/kg,,,,,,,,,3.51,,,,,,,,0.58,579.1,mg/kg,0.03,L/mg,
240,240,Longzhou,2022,Effect of Different Types of Phosphate Fertilizer on Phosphorus Absorption and Desorption in Acidic Red Soil of Southwest China,102.68,24.9,,,Yunnan,Kunming,0-20,,,cropland,maize,Ferralsol,,Oxisols,USDA,4.5,h2o,6.8,g/kg,,,,,,,,,2.42,,,,,,,,0.49,634.9,mg/kg,0.04,L/mg,
241,241,Longzhou,2022,Effect of Different Types of Phosphate Fertilizer on Phosphorus Absorption and Desorption in Acidic Red Soil of Southwest China,102.68,24.9,,,Yunnan,Kunming,0-20,,,cropland,maize,Ferralsol,,Oxisols,USDA,4.6,h2o,10.7,g/kg,,,,,,,,,3.15,,,,,,,,0.48,494.5,mg/kg,0.24,L/mg,
242,242,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,Forestland,,Eutric Regosol,,Entisols,FAO,4.6,h2o,14,g/kg,,,,,28.5,,,,,2149.2,1008,,McKeague and Day 1966,,,,,1280,mg/kg,0.14,L/mg,
243,243,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,Forestland,,Eutric Regosol,,Entisols,FAO,4.8,h2o,9.43,g/kg,,,,,22.4,,,,,1533.6,890.4,,McKeague and Day 1966,,,,,915,mg/kg,0.05,L/mg,
244,244,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,Forestland,,Eutric Regosol,,Entisols,FAO,3.7,h2o,58.3,g/kg,,,,,23,,,,,2308.5,4093.6,,McKeague and Day 1966,,,,,1556,mg/kg,0.105,L/mg,
245,245,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,Forestland,,Eutric Regosol,,Entisols,FAO,5.2,h2o,11.2,g/kg,,,,,9.9,,,,,734.4,828.8,,McKeague and Day 1966,,,,,501,mg/kg,0.021,L/mg,
246,246,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,cropland,,Eutric Regosol,,Entisols,FAO,5.2,h2o,14.7,g/kg,,,,,20.2,,,,,756,1170.4,,McKeague and Day 1966,,,,,672,mg/kg,0.022,L/mg,
247,247,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,cropland,,Eutric Regosol,,Entisols,FAO,4.3,h2o,15.6,g/kg,,,,,16.2,,,,,1042.2,672,,McKeague and Day 1966,,,,,852,mg/kg,0.096,L/mg,
248,248,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,cropland,,Eutric Regosol,,Entisols,FAO,4.5,h2o,23.7,g/kg,,,,,7.4,,,,,1136.7,800.8,,McKeague and Day 1966,,,,,569,mg/kg,0.034,L/mg,
249,249,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,cropland,,Eutric Regosol,,Entisols,FAO,4.9,h2o,17.6,g/kg,,,,,15.4,,,,,907.2,2088.8,,McKeague and Day 1966,,,,,540,mg/kg,0.02,L/mg,
250,250,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,cropland,,Eutric Regosol,,Entisols,FAO,4.9,h2o,13.4,g/kg,,,,,10.4,,,,,666.9,946.4,,McKeague and Day 1966,,,,,495,mg/kg,0.02,L/mg,
251,251,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,cropland,,Eutric Regosol,,Entisols,FAO,4.5,h2o,23.3,g/kg,,,,,31,,,,,1155.6,3096.8,,McKeague and Day 1966,,,,,685,mg/kg,0.035,L/mg,
252,252,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,cropland,,Eutric Regosol,,Entisols,FAO,4.3,h2o,20,g/kg,,,,,16.2,,,,,1074.6,1008,,McKeague and Day 1966,,,,,508,mg/kg,0.018,L/mg,
253,253,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,horticultural field,,Eutric Regosol,,Entisols,FAO,8.4,h2o,7.74,g/kg,,,,,16.7,,,,128,477.9,326.48,,McKeague and Day 1966,,,,,667,mg/kg,0.019,L/mg,
254,254,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,horticultural field,,Eutric Regosol,,Entisols,FAO,8.3,h2o,10.9,g/kg,,,,,21,,,,99,507.6,483.84,,McKeague and Day 1966,,,,,491,mg/kg,0.024,L/mg,
255,255,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,horticultural field,,Eutric Regosol,,Entisols,FAO,8.1,h2o,39.9,g/kg,,,,,10,,,,145,275.4,176.96,,McKeague and Day 1966,,,,,484,mg/kg,0.007,L/mg,
256,256,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,horticultural field,,Eutric Regosol,,Entisols,FAO,8.1,h2o,21.4,g/kg,,,,,21,,,,51.1,702,1960,,McKeague and Day 1966,,,,,1002,mg/kg,0.032,L/mg,
257,257,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,horticultural field,,Eutric Regosol,,Entisols,FAO,7.9,h2o,27.5,g/kg,,,,,21,,,,137,769.5,2928.8,,McKeague and Day 1966,,,,,1271,mg/kg,0.034,L/mg,
258,258,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,horticultural field,,Eutric Regosol,,Entisols,FAO,7.3,h2o,12.8,g/kg,,,,,17.7,,,,,712.8,705.6,,McKeague and Day 1966,,,,,519,mg/kg,0.015,L/mg,
259,259,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,horticultural field,,Eutric Regosol,,Entisols,FAO,8.3,h2o,10.3,g/kg,,,,,27.1,,,,70.1,610.2,884.8,,McKeague and Day 1966,,,,,789,mg/kg,0.019,L/mg,
260,260,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,paddyfield,,Eutric Regosol,,Entisols,FAO,7.1,h2o,11.6,g/kg,,,,,23.4,,,,,637.2,1349.6,,McKeague and Day 1966,,,,,476,mg/kg,0.022,L/mg,
261,261,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,paddyfield,,Eutric Regosol,,Entisols,FAO,5.12,h2o,25.2,g/kg,,,,,36,,,,,1544.4,7280,,McKeague and Day 1966,,,,,1065,mg/kg,0.082,L/mg,
262,262,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,paddyfield,,Eutric Regosol,,Entisols,FAO,8.4,h2o,16.7,g/kg,,,,,19.3,,,,31.7,521.1,525.28,,McKeague and Day 1966,,,,,594,mg/kg,0.011,L/mg,
263,263,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,paddyfield,,Eutric Regosol,,Entisols,FAO,6.2,h2o,19.4,g/kg,,,,,9.6,,,,,631.8,716.8,,McKeague and Day 1966,,,,,481,mg/kg,0.038,L/mg,
264,264,M. Li,2007,Phosphorus sorption–desorption by purple soils of China in relation to their properties,105.6,30.2,,,Sichuan,,0-15,,,paddyfield,,Eutric Regosol,,Entisols,FAO,5.9,h2o,18.2,g/kg,,,,,12.2,,,,,729,1176,,McKeague and Day 1966,,,,,658,mg/kg,0.044,L/mg,
265,265,Maosheng Chen,2010,Adsorption and Release of Phosphates in the Case of Dianchi Sediments,102.67,25.02,,,,,,,,sediment,,,,other,,8.6,h2o,,,18,,,,,,,,,,,,,,,,0.5228,2760,mg/kg,0.87,L/mg,
266,266,Maosheng Chen,2010,Adsorption and Release of Phosphates in the Case of Dianchi Sediments,102.65,24.96,,,,,,,,sediment,,,,other,,8.3,h2o,,,99.4,,,,,,,,,,,,,,,,3.5815,8460,mg/kg,0.14,L/mg,
267,267,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,,,Shandong,Dongying,0-20,,,,,Inceptisols,,Inceptisols,,8.87,h2o,8.9648,g/kg,,,,,,,,,,,,,,,,8.5,0.18,278.8,mg/kg,0.2095,L/mg,
268,268,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,,,Shandong,Dongying,0-20,,,,,Inceptisols,,Inceptisols,,8.82,h2o,11.5508,g/kg,,,,,,,,,,,,,,,,15.7,0.85,247.2,mg/kg,0.2098,L/mg,
269,269,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,,,Shandong,Dongying,0-20,,,,,Inceptisols,,Inceptisols,,8.53,h2o,13.2748,g/kg,,,,,,,,,,,,,,,,24.7,0.94,310.4,mg/kg,0.2755,L/mg,
270,270,Mengmeng Chen,2021,organic fertilization improves the availability and adsorptive capacity of phosphorus in saline alkaline soils,118.54,37.52,,,Shandong,Dongying,0-20,,,,,Inceptisols,,Inceptisols,,8.47,h2o,13.9644,g/kg,,,,,,,,,,,,,,,,27.3,0.95,294,mg/kg,0.2519,L/mg,
271,271,Mingkui Zhang,2008,???????????????????,120.76,30.76,,,Zhejiang,Jiaxing,0-20,,,paddy soil,,degleyed,,Inceptisols,,6.2,h2o,38.3,g/kg,,,,,39.3,,,,,,,,,,,13.4,0.5,809.2,mg/kg,,,no data onkl
272,272,Mingkui Zhang,2008,???????????????????,120.76,30.76,,,Zhejiang,Jiaxing,0-20,,,paddy soil,,hydrogric,,Inceptisols,,6.1,h2o,36.4,g/kg,,,,,31.1,,,,,,,,,,,9.3,0.57,666.7,mg/kg,,,no data onkl
273,273,Mingkui Zhang,2008,???????????????????,121.01,30.68,,,Zhejiang,Pinghu,0-20,,,paddy soil,,degleyed,,Inceptisols,,6.3,h2o,27.3,g/kg,,,,,23.7,,,,,,,,,,,14.4,0.63,590.2,mg/kg,,,no data onkl
274,274,Mingkui Zhang,2008,???????????????????,119.97,30.54,,,Zhejiang,Deqing,0-20,,,paddy soil,,hydrogric,,Inceptisols,,6.3,h2o,34.7,g/kg,,,,,32.3,,,,,,,,,,,6.8,0.43,607.6,mg/kg,,,no data onkl
275,275,Mingkui Zhang,2008,???????????????????,120.56,30.63,,,Zhejiang,Tongxiang,0-20,,,paddy soil,,peneogenic,,Inceptisols,,6.3,h2o,27.6,g/kg,,,,,25.1,,,,,,,,,,,9.7,0.54,548.6,mg/kg,,,no data onkl
276,276,Mingkui Zhang,2008,???????????????????,119.91,31.03,,,Zhejiang,Changxing,0-20,,,paddy soil,,peneogenic,,Inceptisols,,5.8,h2o,32.4,g/kg,,,,,22.8,,,,,,,,,,,6.1,0.41,491.5,mg/kg,,,no data onkl
277,277,Mingkui Zhang,2008,???????????????????,120.68,30.51,,,Zhejiang,Haining,0-20,,,paddy soil,,peneogenic,,Inceptisols,,6.9,h2o,26.3,g/kg,,,,,18.1,,,,,,,,,,,15.4,0.62,429.3,mg/kg,,,no data onkl
278,278,Mingkui Zhang,2008,???????????????????,120.27,30.19,,,Zhejiang,Xiaoshan,0-20,,,paddy soil,,hydrogric,,Inceptisols,,6.1,h2o,24.3,g/kg,,,,,16.8,,,,,,,,,,,7.8,0.52,415.2,mg/kg,,,no data onkl
279,294,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.95,h2o,10.6,g/kg,,,,,,,,,,,,,,,,6.1,0.598,417,mg/kg,0.28,,
280,295,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.71,h2o,12.1,g/kg,,,,,,,,,,,,,,,,9.4,0.61,395,mg/kg,0.28,,
281,296,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.76,h2o,11.7,g/kg,,,,,,,,,,,,,,,,12.9,0.635,390,mg/kg,0.29,,
282,297,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.56,h2o,13,g/kg,,,,,,,,,,,,,,,,18,0.644,353,mg/kg,0.31,,
283,298,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.76,h2o,11.8,g/kg,,,,,,,,,,,,,,,,28.1,0.672,362,mg/kg,0.3,,
284,299,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.58,h2o,13.5,g/kg,,,,,,,,,,,,,,,,33.4,0.682,333,mg/kg,0.32,,
285,300,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.73,h2o,12,g/kg,,,,,,,,,,,,,,,,32.8,0.681,326,mg/kg,0.31,,
286,301,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.56,h2o,13.7,g/kg,,,,,,,,,,,,,,,,39.4,0.693,313,mg/kg,0.31,,
287,302,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.91,h2o,11.9,g/kg,,,,,,,,,,,,,,,,33.8,0.689,289,mg/kg,0.35,,
288,303,NanCao,2021,Straw retention coupled with mineral P fertilizer for reducing P fertilizer imput and improving cotton yield,120.57,33.4,,,Jiangsu,yancheng,0-20,,,cropland,,,???,Alfisols,,7.49,h2o,13.5,g/kg,,,,,,,,,,,,,,,,41.3,0.703,289,mg/kg,0.33,,
289,304,Pengqiang Yang,2020,??????????????????,,,,,Hubei,Jingzhou,0-20,,,sediment,,,,Alfisols,,,,,,25.2,g/kg,,,10.8,,,,,,,,,,,,0.375,890,mg/kg,0.06,L/kg,KL unit L/kg
290,305,Pengqiang Yang,2020,??????????????????,,,,,Hubei,Jingzhou,0-20,,,wetlands,,,,Alfisols,,,,,,19.3,g/kg,,,13.3,,,,,,,,,,,,0.481,820,mg/kg,0.07,L/kg,KL unit L/kg
291,306,Pengqiang Yang,2020,??????????????????,,,,,Hubei,Jingzhou,0-20,,,sediment,,,,Alfisols,,,,,,10.4,g/kg,,,11.7,,,,,,,,,,,,0.554,740,mg/kg,0.09,L/kg,KL unit L/kg
292,307,Pengqiang Yang,2020,??????????????????,,,,,Hubei,Jingzhou,0-20,,,Farmland,,,,Alfisols,,,,,,13.5,g/kg,,,75.8,,,,,,,,,,,,0.377,990,mg/kg,0.05,L/kg,KL unit L/kg
293,308,Pengqiang Yang,2020,??????????????????,,,,,Hubei,Jingzhou,0-20,,,sediment,,,,Alfisols,,,,,,18.1,g/kg,,,11.2,,,,,,,,,,,,0.655,610,mg/kg,0.08,L/kg,KL unit L/kg
294,309,Ping Zou,2011,"Chronosequence of paddy soils and phosphorus
sorption–desorption properties",120.15,30.33,,,Zhejiang,Hangzhou,0-20,,,paddy soil,,Stagnic Anthrosols,,Inceptisols,IUS2006,,h2o,,,13.49,g/kg,,,,,,,,,,,,,,,,521.9,mg/kg,0.052,L/mg,
295,310,Ping Zou,2011,"Chronosequence of paddy soils and phosphorus
sorption–desorption properties",120.15,30.33,,,Zhejiang,Hangzhou,0-9,,,paddy soil,,Stagnic Anthrosols,,Inceptisols,IUS2006,6.55,h2o,,,18.21,g/kg,,,,,,,,,,,,,,,0.77,641.7,mg/kg,0.026,L/mg,
296,311,Ping Zou,2011,"Chronosequence of paddy soils and phosphorus
sorption–desorption properties",120.15,30.33,,,Zhejiang,Hangzhou,0-18,,,paddy soil,,Stagnic Anthrosols,,Inceptisols,IUS2006,7.36,h2o,,,19.43,g/kg,,,,,,,,,,,,,,,0.96,773.6,mg/kg,0.019,L/mg,
297,312,Ping Zou,2011,"Chronosequence of paddy soils and phosphorus
sorption–desorption properties",120.15,30.33,,,Zhejiang,Hangzhou,0-10,,,paddy soil,,Stagnic Anthrosols,,Inceptisols,IUS2006,7.47,h2o,,,26.33,g/kg,,,,,,,,,,,,,,,0.92,850.9,mg/kg,0.018,L/mg,
298,313,Ping Zou,2011,"Chronosequence of paddy soils and phosphorus
sorption–desorption properties",120.15,30.33,,,Zhejiang,Hangzhou,0-15,,,paddy soil,,Stagnic Anthrosols,,Inceptisols,IUS2006,5.66,h2o,,,30.34,g/kg,,,,,,,,,,,,,,,0.74,843,mg/kg,0.02,L/mg,
299,314,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,0-3,,,sediment,multipond system,,,other,,4.25,h2o,,,20.9,g/kg,,,8,,,,,1400,9182,174,bao 2000,,,,,974.1,mg/kg,0.15,L/mg,
300,315,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,3~12,,,sediment,multipond system,,,other,,4.26,h2o,,,18.3,g/kg,,,7.3,,,,,1139,3572,135,bao 2000,,,,,647.6,mg/kg,0.1,L/mg,
301,316,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,0-3,,,sediment,multipond system,,,other,,4.3,h2o,,,17,g/kg,,,10.7,,,,,1004,8209,197,bao 2000,,,,,729.2,mg/kg,0.12,L/mg,
302,317,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,3~12,,,sediment,multipond system,,,other,,4.28,h2o,,,12.4,g/kg,,,10.6,,,,,1296,7355,178,bao 2000,,,,,666.5,mg/kg,0.11,L/mg,
303,318,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,0-3,,,sediment,multipond system,,,other,,5.54,h2o,,,13.6,g/kg,,,10.7,,,,,1253,6120,91,bao 2000,,,,,522.2,mg/kg,0.15,L/mg,
304,319,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,3~12,,,sediment,multipond system,,,other,,5.4,h2o,,,10.5,g/kg,,,11.1,,,,,1100,5228,96,bao 2000,,,,,493.9,mg/kg,0.1,L/mg,
305,320,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,0-3,,,sediment,multipond system,,,other,,4.84,h2o,,,13,g/kg,,,12.9,,,,,1482,6329,113,bao 2000,,,,,626.8,mg/kg,0.24,L/mg,
306,321,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,3~12,,,sediment,multipond system,,,other,,4.74,h2o,,,9.97,g/kg,,,13.1,,,,,1433,6475,128,bao 2000,,,,,609.5,mg/kg,0.09,L/mg,
307,322,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,0-3,,,sediment,multipond system,,,other,,6.64,h2o,,,10.7,g/kg,,,12.6,,,,,1424,5977,93,bao 2000,,,,,492.6,mg/kg,0.22,L/mg,
308,323,Qiang Fu,2006,Phosphorus sorption capacities in a headstream landscapeThe pond chain structure,,,,,Chaohu,baojiatang watershed,3~12,,,sediment,multipond system,,,other,,5.83,h2o,,,9.7,g/kg,,,15.6,,,,,1431,5511,135,bao 2000,,,,,491.8,mg/kg,0.09,L/mg,
309,324,Qianqian Hong,2018,???????????????????,115.83,28.76,,,Jiangxi,???????,0-15,,,cropland,Rice,??????,,Inceptisols,,4.84,h2o,32.22,g/kg,,,,,18.35,,,,,1289,5520,202,Lu 2000,,,,,828,mg/kg,2.1,L/mg,"clay unit  g/kg, no total P data"
310,325,Qianqian Hong,2018,???????????????????,115.83,28.76,,,Jiangxi,???????,0-15,,,cropland,Rice,??????,,Inceptisols,,5.15,h2o,32.94,g/kg,,,,,14.83,,,,,1059,4413,350,Lu 2000,,,,,885,mg/kg,2.08,L/mg,"clay unit  g/kg, no total P data"
311,326,Qianqian Hong,2018,???????????????????,115.83,28.76,,,Jiangxi,???????,0-15,,,cropland,Rice,??????,,Inceptisols,,4.99,h2o,37.02,g/kg,,,,,15.29,,,,,1348,5093,413,Lu 2000,,,,,962,mg/kg,2.74,L/mg,"clay unit  g/kg, no total P data"
312,327,Qianqian Hong,2018,???????????????????,115.83,28.76,,,Jiangxi,???????,0-15,,,cropland,Rice,??????,,Inceptisols,,5,h2o,32.98,g/kg,,,,,10.69,,,,,1288,6200,567,Lu 2000,,,,,1143,mg/kg,2.66,L/mg,"clay unit  g/kg, no total P data"
313,331,Qingdong Zhang,2006,??????????????,102.5,29.6,102.5,29.6,Sichuan,xichang,0-20,,,,,??,,Ultisols,,5.09,h2o,3.79,g/kg,,,,,,,,,,,,,,,,9.78,0.144084507,1170.3,mg/kg,0.1624,L/mg,
314,332,Qingdong Zhang,2006,??????????????,102.85,30.67,102.85,30.67,Sichuan,ya an,0-20,,,,,??,,Inceptisols,,4.19,h2o,4.31,g/kg,,,,,,,,,,,,,,,,2.89,0.042788732,2104,mg/kg,0.2833,L/mg,
315,333,Qingdong Zhang,2006,??????????????,104.68,31.48,104.68,31.48,Sichuan,mianyang,0-20,,,,,???,,Inceptisols,,7.24,h2o,3.26,g/kg,,,,,,,,,,,,,,,,11.1,0.096056338,418.5,mg/kg,0.09548,L/mg,
