ID_new,ID,Author,year,title,longtitude,latitude,longtitude_temp,latitude_temp,province,site,depth,annual mean precipitation,annual mean temperature,landuse type,field type,soil type,soil_ty temp,soilty_usda,reference,ph,ph_extractant,som,som_unit,soc,soc_unit,tc,tc_unit,clay,clay_hwsd,silt,sand,caco3[g/kg],Alox[mg/kg],Feox[mg/kg],Pox[mg/kg],ref,pcacl2,pcacl2_unit,polsen[mg/kg],ptotal[g/kg],Qmax[mg/kg],Qmax_unit,KL[L/mg],KL_unit,
24,24,"Brenner, Julia",2019,Phosphorus sorption on tropical soils with relevance to Earth system model needs,112.83,22.57,,,Guangdong,"Hashan National Field Research Station of Forest Ecosystems,",5~10,,,,,Ultisol,,Ultisols,,4.12,h2o,,,0.169,g/kg,,,15.56,,37.77,,,,,,,,,,0.19,1228.8,mg/kg,0.067,L/mg,
25,25,Chang Wang,2010,Study on Phosphorus Adsorption of Several Soils,118.7965,32.0584,,,Jiangsu,Nanjing,,,,,,,,other,,4.72,h2o,,,,,,,,,,,0,,,,,,,26.38,,370.37,mg/kg,0.2784,L/mg,
26,26,Chang Wang,2010,Study on Phosphorus Adsorption of Several Soils,113.0148,25.7706,,,Hunan,Chenzhou,,,,,,,,other,,5.8,h2o,,,,,,,,,,,0,,,,,,,3.06,,1000,mg/kg,0.3448,L/mg,
27,27,Chang Wang,2010,Study on Phosphorus Adsorption of Several Soils,112.3033,29.5806,,,Hubei,Shishou,,,,,,,,other,,8.03,h2o,,,,,,,,,,,0,,,,,,,8.05,,312.5,mg/kg,0.1939,L/mg,
28,28,Chang Wang,2010,Study on Phosphorus Adsorption of Several Soils,113.0323,22.4588,,,Guangdong,Jiangmen,,,,,,,,other,,7.29,h2o,,,,,,,,,,,0,,,,,,,6.37,,769.23,mg/kg,0.4063,L/mg,
29,29,Chang Wang,2010,Study on Phosphorus Adsorption of Several Soils,120.2745,32.0149,,,Jiangsu,Jingjiang,,,,,,,,other,,7.94,h2o,,,,,,,,,,,0,,,,,,,7.1,,454.55,mg/kg,0.1833,L/mg,
30,30,Chao Fei,2020,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,118.75,36.92,,,Shandong,Shouguang,0-30,,,cropland,tomato,Molic Gleysol,,Mollisols,FAO,6.79,h2o,15.1,g/kg,,,,,,,,0.018999,,,,,,,,314,2.685,783,mg/kg,0.019,L/mg,
31,31,Chao Fei,2020,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,118.75,36.92,,,Shandong,Shouguang,0-30,,,cropland,tomato,Molic Gleysol,,Mollisols,FAO,6.78,h2o,16.2,g/kg,,,,,,,,0.0245,,,,,,,,282,2.358,925,mg/kg,0.025,L/mg,
32,32,Chao Fei,2020,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,118.75,36.92,,,Shandong,Shouguang,0-30,,,cropland,tomato,Molic Gleysol,,Mollisols,FAO,7.63,h2o,14.8,g/kg,,,,,,,,0.02049,,,,,,,,266,1.991,905,mg/kg,0.021,L/mg,
33,33,Chao Fei,2020,Phosphorus adsorption and desorption characteristics of different textural fluvo-aquic soils under long-term fertilization,118.75,36.92,,,Shandong,Shouguang,0-30,,,cropland,tomato,Molic Gleysol,,Mollisols,FAO,7.56,h2o,16.7,g/kg,,,,,,,,0.03299,,,,,,,,281,2.27,1159,mg/kg,0.026,L/mg,
34,34,Chao Xuan,2022,??????????-????????,106.31,28.21,106.31,28.21,Guizhou,guiyangshi huaxiqu,0-20,,,cropland,,??,,Inceptisols,,3.77,h2o,25.34,g/kg,,,,,,,,,,,,,,,,82,0.93,1249.23,mg/kg,0.2876,L/mg,
35,35,Chen Feng,2015,???????????????????????????????,121.77,42.15,,,Liaoning,Fuxin,0-20,,,cropland,maize,??,,Alfisols,,7.12,h2o,17.83,g/kg,,,,,,,,,,,,,,,,,0.72,2515.625,mg/kg,0.0032,L/mg,
36,36,Chen Feng,2015,???????????????????????????????,121.77,42.15,,,Liaoning,Fuxin,0-20,,,cropland,maize,??,,Alfisols,,6.25,h2o,15.38,g/kg,,,,,,,,,,,,,,,,,0.61,2233.333333,mg/kg,0.003,L/mg,
37,37,Chen Feng,2015,???????????????????????????????,121.77,42.15,,,Liaoning,Fuxin,0-20,,,cropland,maize,??,,Alfisols,,6.59,h2o,15.68,g/kg,,,,,,,,,,,,,,,,,0.57,2002.702703,mg/kg,0.0037,L/mg,
38,38,Chuanmin Cheng,1996,?????????????????????,120.18,32.68,120.18,32.68,Jiangsu,,.,,,cropland,,??,,Aridisols,,8.22,h2o,15.5,g/kg,,,,,,,,,132,,,,,,,16.7,0.689,422,mg/kg,1.76,,no unit for kl
39,39,Chuanmin Cheng,1996,?????????????????????,120.18,32.68,120.18,32.68,Jiangsu,,,,,cropland,,??,,Aridisols,,8.01,h2o,15.2,g/kg,,,,,,,,,84.4,,,,,,,17.4,0.689,262,mg/kg,0.38,,no unit for kl
40,40,Chunyan Gong,2008,??????????????????????,111.87,26.75,,,Hunan,Qiyang,0-20,,,cropland,,Ferralic Cambisol,,Inceptisols,,4.95,h2o,14.8,g/kg,,,,,38.27,,,,,,,,,,,,0.4,310.6,mg/kg,2.35,mg/L,
41,41,Chunyan Gong,2008,??????????????????????,117.9,40.22,,,Beijing,Changping,0-20,,,cropland,,??,,Alfisols,,8.08,h2o,19.6,g/kg,,,,,26,,,,,,,,,,,,1.6,199.6,mg/kg,0.443,mg/L,
42,42,Denggao Fu,2021,land use effects on sil P behavior characteristics in the eutrophic aquatic-teerrestrial ecotone of Dianchi Lake China,102.77,24.87,,,Yunnan,Danchi,0-20,,,cropland,,Eutric Cambisol,,Inceptisols,WRB,6.23,h2o,53.9612,g/kg,,,,,43.8,,27.1,,,790,1600,,"McKeague et al.,1971",,,,,556.1,mg/kg,0.098,L/mg,no totalP data
