Staalnummer,Land,site,proefveld,year,diepte bodemstaalname,Staalnummering buitenland,plot,Behandeling,staaldiepte (cm onder maaiveld),start proef,textuurklasse,gewassen,gewassen (winter/zomer),yield (t/ha ),yield[t/ha],Column 14,max yield,relative_yield,,av rel yield,bodem P (mg/kg soil) (gekregen resultaten),P-AL (mg/kg),Column 20,P_ox,Al-ox (mg/kg),Fe-ox (mg/kg),P-ox (mmol/kg),Al-ox (mmol/kg),Fe-ox (mmol/kg),FVG (%),P_Olsen,P_CaCl2,P DGT (µg/L)
62,Frankrijk,Pierroton,Pierroton,2015,,T60050,,P2,0-25,1995,zand,maize,maize,"10,901,346,043",10.9,,13.9,78.4,,94.2,19.6,52.8,,45,233,150,1.5,8.6,2.7,25.7,22.5,3,107.8
63,Frankrijk,Pierroton,Pierroton,2015,,T60053,,P4,0-25,1995,zand,maize,maize,"14,472,195,496",14.47,,13.9,104,,100,42.7,81.8,,105,327,206,3.4,12.1,3.7,42.9,44.4,6.7,274.9
64,Frankrijk,Pierroton,Pierroton,2015,,T60056,,P0.5,0-25,1995,zand,maize,maize,"82,892,215,994",8.289,,13.9,59.6,,,4.4,10.7,,29,603,326,0.9,22.4,5.8,6.6,4.5,0.4,3.6
65,Frankrijk,Pierroton,Pierroton,2015,,T60059,,P0.75,0-25,1995,zand,maize,maize,"10,152,556,068",10.15,,13.9,73,,,4.4,11.8,,27,602,253,0.9,22.3,4.5,6.5,5.1,0.5,8.9
66,Frankrijk,Pierroton,Pierroton,2015,,T60062,,P1,0-25,1995,zand,maize,maize,"12,732,053,158",12.73,,13.9,91.5,,,13.5,34.7,,44,276,195,1.4,10.2,3.5,20.6,13.4,1.9,96
67,Frankrijk,Pierroton,Pierroton,2015,,T60065,,P2,0-25,1995,zand,maize,maize,"13,795,187,022",13.8,,13.9,99.2,,,16.6,29.8,,42,210,182,1.3,7.8,3.3,24.4,20.3,2.9,140
68,Frankrijk,Pierroton,Pierroton,2015,,T60068,,P4,0-25,1995,zand,maize,maize,"13,561,381,203",13.56,,13.9,97.5,,,50.1,124.6,,132,531,220,4.3,19.7,3.9,36.1,48,3,149.7
69,Frankrijk,Pierroton,Pierroton,2015,,T60071,,P0.5,0-25,1995,zand,maize,maize,"81,704,772,754",8.17,,13.9,58.7,,,3.1,7.1,,23,224,205,0.7,8.3,3.7,4.5,4.3,0.7,25
70,Frankrijk,Pierroton,Pierroton,2015,,T60074,,P0.75,0-25,1995,zand,maize,maize,"10,591,946,874",10.59,,13.9,76.1,,,5.7,19.2,,43,963,304,1.4,35.7,5.4,6.8,6.6,0.4,5.9
71,Frankrijk,Pierroton,Pierroton,2015,,T60077,,P1,0-25,1995,zand,maize,maize,"12,604,875,273",12.6,,13.9,90.6,,,10.9,18.8,,31,192,192,1,7.1,3.4,18.7,10.7,3.2,148.7
72,Frankrijk,Pierroton,Pierroton,2015,,T60080,,P2,0-25,1995,zand,maize,maize,"14,032,302,383",14.03,,13.9,100.9,,,26.2,60.7,,78,698,248,2.5,25.9,4.4,16.6,28.1,0.8,29
73,Frankrijk,Pierroton,Pierroton,2015,,T60083,,P4,0-25,1995,zand,maize,maize,"13,144,834,003",13.14,,13.9,94.5,,,21.4,51.5,,66,348,220,2.1,12.9,3.9,25.3,21.9,2.4,95.8
74,Frankrijk,Pierroton,Pierroton,2015,,T60086,,P0.5,0-25,1995,zand,maize,maize,"90,070,527,269",9.007,,13.9,64.8,,,6.1,16.7,,34,736,239,1.1,27.3,4.3,6.9,7.6,0.4,6.5
75,Frankrijk,Pierroton,Pierroton,2015,,T60089,,P0.75,0-25,1995,zand,maize,maize,"12,499,831,355",12.5,,13.9,89.9,,,6.1,11.7,,24,329,216,0.8,12.2,3.9,9.7,7.3,1.1,32
76,Frankrijk,Pierroton,Pierroton,2015,,T60092,,P1,0-25,1995,zand,maize,maize,"13,158,201,457",13.16,,13.9,94.6,,,21.4,50.9,,78,1114,428,2.5,41.3,7.7,10.3,21.8,0.5,15.3
77,Frankrijk,Pierroton,Pierroton,2015,,T60095,,P2,0-25,1995,zand,maize,maize,"13,664,748,218",13.66,,13.9,98.2,,,20.5,58,,79,641,543,2.5,23.8,9.7,15.2,20.7,0.7,29.1
78,Frankrijk,Pierroton,Pierroton,2015,,T60098,,P4,0-25,1995,zand,maize,maize,"14,462,997,165",14.46,,13.9,104,,,37.1,114.3,,105,454,204,3.4,16.8,3.6,33,35.4,2.9,197.6
79,Frankrijk,Toulouse,Toulouse,2006,,,17,P0,,1968,leem-klei,wheat,wheat,"3,098",3.1,,5.9,52.8,,70.9,2.6,7.3,,64,461,1342,2.1,17.1,24,10.1,3.4,0.4,6.4
80,Frankrijk,Toulouse,Toulouse,2006,,,18,P2,,1968,leem-klei,wheat,wheat,"5,413",5.41,,5.9,92.2,,96.8,12.6,52.5,,122,512,1365,3.9,19,24.4,18.1,13.9,0.8,25.2
81,Frankrijk,Toulouse,Toulouse,2006,,,19,P4,,1968,leem-klei,wheat,wheat,"5,458",5.46,,5.9,93,,99,29.6,81.3,,184,554,1416,5.9,20.5,25.4,25.8,26.3,1.5,64.8
82,Frankrijk,Toulouse,Toulouse,2006,,,20,P1,,1968,leem-klei,wheat,wheat,"5,483",5.48,,5.9,93.4,,100,10.5,39.5,,123,574,1456,4,21.3,26.1,16.8,11.8,1.1,33.6
83,Frankrijk,Toulouse,Toulouse,2006,,,21,P2,,1968,leem-klei,wheat,wheat,"5,949",5.95,,5.9,101.4,,,14.4,55.9,,132,606,1200,4.3,22.5,21.5,19.3,14.2,1.2,30.7
84,Frankrijk,Toulouse,Toulouse,2006,,,22,P0,,1968,leem-klei,wheat,wheat,"3,692",3.69,,5.9,62.9,,,3.9,16.3,,87,596,1233,2.8,22.1,22.1,12.7,4.5,0.7,7
85,Frankrijk,Toulouse,Toulouse,2006,,,23,P1,,1968,leem-klei,wheat,wheat,"5,576",5.58,,5.9,95,,,6.1,33.3,,109,637,1258,3.5,23.6,22.5,15.2,7.6,0.9,16.6
86,Frankrijk,Toulouse,Toulouse,2006,,,24,P4,,1968,leem-klei,wheat,wheat,"5,858",5.86,,5.9,99.8,,,26.6,116.8,,218,672,1338,7.1,24.9,24,28.9,25.1,1.8,60.1
87,Frankrijk,Toulouse,Toulouse,2006,,,25,P4,,1968,leem-klei,wheat,wheat,"5,949",5.95,,5.9,101.4,,,33.1,131.6,,214,702,1446,6.9,26,25.9,26.6,27.3,1.9,61.2
88,Frankrijk,Toulouse,Toulouse,2006,,,26,P1,,1968,leem-klei,wheat,wheat,"5,480",5.48,,5.9,93.4,,,7.4,63.8,,149,715,1446,4.8,26.5,25.9,18.3,8.6,0.9,11.9
89,Frankrijk,Toulouse,Toulouse,2006,,,27,P2,,1968,leem-klei,wheat,wheat,"6,196",6.2,,5.9,105.6,,,11.8,83,,173,703,1376,5.6,26,24.6,22,9.6,1.1,17.2
90,Frankrijk,Toulouse,Toulouse,2006,,,28,P0,,1968,leem-klei,wheat,wheat,"4,747",4.75,,5.9,80.9,,,4.8,59.8,,159,733,1413,5.1,27.2,25.3,19.6,6.1,0.8,6.3
91,Frankrijk,Toulouse,Toulouse,2006,,,29,P1,,1968,leem-klei,wheat,wheat,"6,189",6.19,,5.9,105.4,,,7,74.2,,181,749,1429,5.8,27.7,25.6,21.9,8.5,0.9,12.3
92,Frankrijk,Toulouse,Toulouse,2006,,,30,P4,,1968,leem-klei,wheat,wheat,"6,214",6.21,,5.9,105.9,,,24,163.3,,246,731,1493,7.9,27.1,26.7,29.5,22.5,1.6,43.8
93,Frankrijk,Toulouse,Toulouse,2006,,,31,P0,,1968,leem-klei,wheat,wheat,"5,117",5.12,,5.9,87.2,,,6.1,65.2,,171,754,1329,5.5,27.9,23.8,21.3,5.9,0.9,26
94,Frankrijk,Toulouse,Toulouse,2006,,,32,P2,,1968,leem-klei,wheat,wheat,"5,693",5.69,,5.9,97,,,8.7,89.4,,204,802,1444,6.6,29.7,25.9,23.7,9,1,12.2
95,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-1,2008,,,11,P3,0-23,1986,zandleem,wheat,wheat,9.8,9.8,,9.8,100,,,16.8,38.2,,193,969,2946,6.2,35.9,52.8,14.1,17.7,0.9,18.3
96,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-1,2008,,,12,P2,0-23,1986,zandleem,wheat,wheat,9.28,9.28,,9.8,94.7,,,11.6,33.3,,177,1006,3171,5.7,37.3,56.8,12.1,14.9,0.8,13.3
97,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-1,2008,,,13,P1,0-23,1986,zandleem,wheat,wheat,8.96,8.96,,9.8,91.4,,,6.7,28.1,,154,1056,3194,5,39.1,57.2,10.4,10.3,0.8,10.4
98,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-1,2008,,,14,P0,0-23,1986,zandleem,wheat,wheat,3.41,3.41,,9.8,34.8,,,1.7,11.4,,117,1003,3061,3.8,37.2,54.8,8.2,4.8,0.6,4.2
99,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-3,2008,,,31,P3,0-23,1986,zandleem,wheat,wheat,10.84,10.84,,10.8,100,,,31,85.2,,253,1013,3062,8.2,37.6,54.8,17.7,33.2,1.5,37.2
100,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-3,2008,,,32,P2,0-23,1986,zandleem,wheat,wheat,10.53,10.53,,10.8,97.1,,,22.1,90.8,,221,902,2751,7.1,33.4,49.3,17.3,25,1.5,35.8
101,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-3,2008,,,33,P1,0-23,1986,zandleem,wheat,wheat,10.21,10.21,,10.8,94.2,,,13.7,54.5,,203,1013,3062,6.5,37.5,54.8,14.2,16.7,1.1,21.1
102,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-3,2008,,,34,P0,0-23,1986,zandleem,wheat,wheat,7.5,7.5,,10.8,69.2,,,3.7,20.4,,91,695,1966,3,25.8,35.2,9.7,6.5,0.7,5.4
103,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-5,2008,,,51,P3,0-23,1986,zandleem,wheat,wheat,10.31,10.31,,10.3,100,,,19.5,43.9,,157,799,2336,5.1,29.6,41.8,14.2,15.4,1,19
104,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-5,2008,,,52,P2,0-23,1986,zandleem,wheat,wheat,10.23,10.23,,10.3,99.2,,,13.4,35.5,,126,710,2157,4.1,26.3,38.6,12.5,13.6,0.8,13.7
105,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-5,2008,,,53,P1,0-23,1986,zandleem,wheat,wheat,8.95,8.95,,10.3,86.8,,,8.3,25.6,,154,1088,3138,5,40.3,56.2,10.3,10.1,0.7,15.6
106,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-5,2008,,,54,P0,0-23,1986,zandleem,wheat,wheat,2.83,2.83,,10.3,27.4,,,1.5,6.2,,103,1086,3165,3.3,40.2,56.7,6.9,3.3,0.5,6.3
107,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-7,2008,,,71,P3,0-23,1986,zandleem,wheat,wheat,10.9,10.9,,10.9,100,,,28.3,72.3,,249,1073,3277,8,39.8,58.7,16.3,27.3,1.1,31
108,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-7,2008,,,72,P2,0-23,1986,zandleem,wheat,wheat,10.56,10.56,,10.9,96.9,,,23.7,81.1,,273,1092,3429,8.8,40.5,61.4,17.3,24,1.3,27.1
109,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-7,2008,,,73,P1,0-23,1986,zandleem,wheat,wheat,9.71,9.71,,10.9,89.1,,,14.9,53.9,,214,1126,3167,6.9,41.7,56.7,14,16.1,1,14.1
110,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-7,2008,,,74,P0,0-23,1986,zandleem,wheat,wheat,6.73,6.73,,10.9,61.7,,,4.1,15.2,,125,1138,3012,4,42.2,53.9,8.4,5.7,0.6,4.2
111,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-9,2008,,,91,P3,0-23,1986,zandleem,wheat,wheat,10.45,10.45,,10.5,100,,,32.9,93,,304,1135,3356,9.8,42.1,60.1,19.2,31.9,1.4,38.3
112,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-9,2008,,,92,P2,0-23,1986,zandleem,wheat,wheat,10.2,10.2,,10.5,97.6,,,25.7,101.6,,296,1089,3720,9.5,40.3,66.6,17.9,25.4,1.6,32.3
113,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-9,2008,,,93,P1,0-23,1986,zandleem,wheat,wheat,10.07,10.07,,10.5,96.4,,,13.6,61.3,,202,1127,3127,6.5,41.8,56,13.3,16.2,1,15.1
114,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 2-9,2008,,,94,P0,0-23,1986,zandleem,wheat,wheat,6.53,6.53,,10.5,62.5,,,4.1,25,,138,1125,3026,4.5,41.7,54.2,9.3,5.8,0.6,7.4
115,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-1,1999,,,11,P3,0-23,1986,zandleem,wheat,wheat,5.74,5.74,,5.7,100,,,16.2,45.6,,211,1004,2892,6.8,37.2,51.8,15.3,20.1,0.9,19.9
116,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-1,1999,,,12,P2,0-23,1986,zandleem,wheat,wheat,5.59,5.59,,5.7,97.4,,,9.2,28.2,,175,1017,2961,5.7,37.7,53,12.5,13.8,0.9,10.6
117,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-1,1999,,,13,P1,0-23,1986,zandleem,wheat,wheat,4.76,4.76,,5.7,82.9,,,4,20.6,,149,1070,3101,4.8,39.7,55.5,10.1,6.9,0.8,5.3
118,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-1,1999,,,14,P0,0-23,1986,zandleem,wheat,wheat,0.88,0.88,,5.7,15.3,,,1.8,12.4,,132,1052,3098,4.3,39,55.5,9,4.2,0.6,4.3
119,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-3,1999,,,31,P3,0-23,1986,zandleem,wheat,wheat,7.44,7.44,,7.4,100,,,27.8,96.3,,275,980,2763,8.9,36.3,49.5,20.7,34,1.7,42
120,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-3,1999,,,32,P2,0-23,1986,zandleem,wheat,wheat,7.24,7.24,,7.4,97.3,,,17.6,81.2,,253,1005,2937,8.2,37.3,52.6,18.2,23.7,1.4,27.8
121,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-3,1999,,,33,P1,0-23,1986,zandleem,wheat,wheat,6.75,6.75,,7.4,90.7,,,8.4,50.6,,204,992,2851,6.6,36.8,51,15,12.8,1.1,15.7
122,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-3,1999,,,34,P0,0-23,1986,zandleem,wheat,wheat,5.16,5.16,,7.4,69.4,,,3.8,32.9,,149,985,2725,4.8,36.5,48.8,11.3,7.2,1,5.8
123,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-5,1999,,,51,P3,0-23,1986,zandleem,wheat,wheat,7.4,7.4,,7.4,100,,,18.2,40.8,,202,1037,2793,6.5,38.4,50,14.7,19.1,0.8,18.2
124,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-5,1999,,,52,P2,0-23,1986,zandleem,wheat,wheat,6.89,6.89,,7.4,93.1,,,11.2,43.1,,190,1069,3066,6.1,39.6,54.9,13,15.8,0.9,12.2
125,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-5,1999,,,53,P1,0-23,1986,zandleem,wheat,wheat,5.86,5.86,,7.4,79.2,,,4.6,19.8,,143,1096,2920,4.6,40.6,52.3,9.9,7.1,0.8,6.4
126,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-5,1999,,,54,P0,0-23,1986,zandleem,wheat,wheat,1.67,1.67,,7.4,22.6,,,2.4,7.5,,105,1083,2856,3.4,40.2,51.1,7.4,6,0.5,5.4
127,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-7,1999,,,71,P3,0-23,1986,zandleem,wheat,wheat,7.59,7.59,,7.6,100,,,24.6,99,,265,1043,3060,8.6,38.7,54.8,18.3,29.7,1.3,29.8
128,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-7,1999,,,72,P2,0-23,1986,zandleem,wheat,wheat,7.51,7.51,,7.6,98.9,,,21.2,89.6,,250,1074,3304,8.1,39.8,59.2,16.3,20.8,1.3,21.2
129,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-7,1999,,,73,P1,0-23,1986,zandleem,wheat,wheat,6.74,6.74,,7.6,88.8,,,8,58.3,,205,1202,3317,6.6,44.5,59.4,12.7,10.1,0.9,8.6
130,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-7,1999,,,74,P0,0-23,1986,zandleem,wheat,wheat,3.88,3.88,,7.6,51.1,,,3.6,27,,149,1154,3166,4.8,42.8,56.7,9.7,5.2,0.8,6.9
131,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-9,1999,,,91,P3,0-23,1986,zandleem,wheat,wheat,7.07,7.07,,7.1,100,,,31.6,105.1,,292,1105,3141,9.4,41,56.2,19.4,29.9,1.5,36.2
132,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-9,1999,,,92,P2,0-23,1986,zandleem,wheat,wheat,7.57,7.57,,7.1,107.1,,,21.8,105.1,,276,1061,3253,8.9,39.3,58.2,18.3,22.7,2.4,26.7
133,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-9,1999,,,93,P1,0-23,1986,zandleem,wheat,wheat,6.57,6.57,,7.1,92.9,,,9.2,58.8,,201,1133,3059,6.5,42,54.8,13.4,10.9,0.9,8.7
134,Verenigd Koninkrijk,Rothamsted,Rothamsted exhaustion land 1-9,1999,,,94,P0,0-23,1986,zandleem,wheat,wheat,3.97,3.97,,7.1,56.2,,,3.4,33,,142,1109,2845,4.6,41.1,50.9,9.9,6.2,0.8,5.7
135,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,115,,0-9,1994,klei,wheat,wheat,6.87,6.87,,11,62.6,,,5,45.5,,116,701,1518,3.7,26,27.2,14.1,4.6,1.1,8
136,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,116,,0-9,1994,klei,wheat,wheat,9.19,9.19,,11,83.8,,,9.2,34.3,,120,687,1531,3.9,25.5,27.4,14.7,9.3,1.2,11.1
137,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,214,,0-9,1994,klei,wheat,wheat,9.92,9.92,,11,90.4,,,11,54.4,,148,747,1549,4.8,27.7,27.7,17.2,11.7,1.5,11
138,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,216,,0-9,1994,klei,wheat,wheat,8.45,8.45,,11,77,,,5,29.5,,115,710,1579,3.7,26.3,28.3,13.6,7.1,1.3,8.2
139,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,311,,0-9,1994,klei,wheat,wheat,10.26,10.26,,11,93.5,,,10.6,54.8,,154,611,1569,5,22.6,28.1,19.7,12.7,1.4,13.5
140,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,320,,0-9,1994,klei,wheat,wheat,10.65,10.65,,11,97.1,,,20.6,72.4,,195,630,1744,6.3,23.4,31.2,23.1,19.4,1.7,25.5
141,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,412,,0-9,1994,klei,wheat,wheat,10.9,10.9,,11,99.4,,,39.2,145.6,,248,605,1589,8,22.4,28.5,31.5,33.6,2.6,82
142,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,420,,0-9,1994,klei,wheat,wheat,10.65,10.65,,11,97.1,,,20.6,77.5,,197,606,1662,6.4,22.5,29.8,24.4,19.3,2.1,36.2
143,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,515,,0-9,1994,klei,wheat,wheat,10.83,10.83,,11,98.7,,,23,95.3,,205,604,1597,6.6,22.4,28.6,26,19,1.8,30.1
144,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,516,,0-9,1994,klei,wheat,wheat,10.95,10.95,,11,99.8,,,41.2,130.1,,246,591,1487,8,21.9,26.6,32.8,34.2,2.7,73.9
145,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,613,,0-9,1994,klei,wheat,wheat,10.9,10.9,,11,99.4,,,24.4,95.5,,210,624,1658,6.8,23.1,29.7,25.7,22.5,2,51
146,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,618,,0-9,1994,klei,wheat,wheat,10.97,10.97,,11,100,,,30.6,96.7,,219,578,1566,7.1,21.4,28.1,28.6,29.7,2.3,61.7
147,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,711,,0-9,1994,klei,wheat,wheat,10.9,10.9,,11,99.4,,,33.6,127.1,,238,620,1660,7.7,23,29.7,29.2,32.9,2.2,49.2
148,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,716,,0-9,1994,klei,wheat,wheat,10.84,10.84,,11,98.8,,,25,103.3,,223,643,1686,7.2,23.8,30.2,26.6,22.8,2,38.4
149,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,813,,0-9,1994,klei,wheat,wheat,10.63,10.63,,11,96.9,,,23.4,96.3,,207,653,1652,6.7,24.2,29.6,24.8,19.9,1.8,28.7
150,Verenigd Koninkrijk,Saxmundham,Saxmundham 2,1982,,,820,,0-9,1994,klei,wheat,wheat,9.6,9.6,,11,87.5,,,15,60.8,,181,642,1673,5.8,23.8,30,21.7,13.5,1.7,25.3
151,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,115,,0-9,1994,klei,wheat,wheat,4.06,4.06,,8.7,46.7,,,4,48.4,,114,613,1397,3.7,22.7,25,15.5,5.4,0.9,7.8
152,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,116,,0-9,1994,klei,wheat,wheat,6.8,6.8,,8.7,78.3,,,7.6,41.9,,115,639,1534,3.7,23.7,27.5,14.6,7.7,1,11.5
153,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,120,,0-9,1994,klei,wheat,wheat,7.86,7.86,,8.7,90.4,,,8.2,39.7,,126,623,1655,4.1,23.1,29.6,15.4,8.8,1.2,11.4
154,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,214,,0-9,1994,klei,wheat,wheat,7.14,7.14,,8.7,82.2,,,7.4,55.7,,131,630,1416,4.2,23.3,25.3,17.3,8.7,1.2,3.8
155,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,216,,0-9,1994,klei,wheat,wheat,6.34,6.34,,8.7,73,,,5.6,46.3,,113,600,1423,3.6,22.3,25.5,15.3,6.7,1.2,10.8
156,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,311,,0-9,1994,klei,wheat,wheat,8.29,8.29,,8.7,95.4,,,16.6,60.4,,172,630,1542,5.5,23.3,27.6,21.8,16.6,1.4,24.8
157,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,317,,0-9,1994,klei,wheat,wheat,8.19,8.19,,8.7,94.2,,,20,64,,187,634,1681,6,23.5,30.1,22.5,20,1.7,36.1
158,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,320,,0-9,1994,klei,wheat,wheat,8.57,8.57,,8.7,98.6,,,17,65.3,,184,617,1638,5.9,22.9,29.3,22.7,17.4,1.7,26.8
159,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,411,,0-9,1994,klei,wheat,wheat,8.15,8.15,,8.7,93.8,,,30.6,103.4,,227,620,1628,7.3,23,29.1,28.2,30.9,2.1,57.5
160,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,412,,0-9,1994,klei,wheat,wheat,6.94,6.94,,8.7,79.9,,,33.2,139.5,,234,581,1633,7.6,21.6,29.2,29.8,32.6,2.4,62.8
161,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,420,,0-9,1994,klei,wheat,wheat,8.32,8.32,,8.7,95.7,,,21,76.9,,189,555,1511,6.1,20.6,27.1,25.6,22.2,1.7,45.1
162,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,515,,0-9,1994,klei,wheat,wheat,8.12,8.12,,8.7,93.4,,,31,114,,219,652,1621,7.1,24.2,29,26.6,28.5,1.9,50.9
163,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,516,,0-9,1994,klei,wheat,wheat,8.69,8.69,,8.7,100,,,36,140.6,,240,595,1631,7.7,22.1,29.2,30.2,36.6,2.4,73.7
164,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,518,,0-9,1994,klei,wheat,wheat,8.67,8.67,,8.7,99.8,,,38.4,129.6,,260,615,1691,8.4,22.8,30.3,31.6,38.9,2.5,96.9
165,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,613,,0-9,1994,klei,wheat,wheat,7.86,7.86,,8.7,90.4,,,30.2,105.3,,235,650,1810,7.6,24.1,32.4,26.9,28.6,2.1,60.8
166,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,618,,0-9,1994,klei,wheat,wheat,8.2,8.2,,8.7,94.4,,,29,94.9,,221,631,1718,7.1,23.4,30.8,26.3,23.6,2.1,50.8
167,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,711,,0-9,1994,klei,wheat,wheat,8.11,8.11,,8.7,93.3,,,36,131.6,,251,618,1680,8.1,22.9,30.1,30.6,19.7,2.2,67.4
168,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,716,,0-9,1994,klei,wheat,wheat,8.43,8.43,,8.7,97,,,30.8,124.3,,245,625,1743,7.9,23.2,31.2,29.1,29.2,2.4,51.2
169,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,813,,0-9,1994,klei,wheat,wheat,7.12,7.12,,8.7,81.9,,,22.4,86.2,,209,662,1640,6.7,24.5,29.4,25,20.4,1.8,35.2
170,Verenigd Koninkrijk,Saxmundham,Saxmundham 1,1978,,,820,,0-9,1994,klei,wheat,wheat,7.92,7.92,,8.7,91.1,,,18.2,84.6,,203,662,1816,6.5,24.5,32.5,23,21.6,1.7,26.7
207,Verenigd Koninkrijk,Peldon,Peldon,2011,,,1,R1D1,0-25,2009,klei,wheat,wheat,9.33,9.33,,9.3,100,,,45.6,95.6,,244,666,3885,7.9,24.7,69.6,16.7,41.6,2.4,101.5
208,Verenigd Koninkrijk,Peldon,Peldon,2011,,,2,R1D2,0-25,2009,klei,wheat,wheat,7.85,7.85,,9.3,84.1,,,11.4,44.7,,144,633,3319,4.7,23.4,59.4,11.2,14.2,1.4,32.1
209,Verenigd Koninkrijk,Peldon,Peldon,2011,,,3,R2D3,0-25,2009,klei,wheat,wheat,8.19,8.19,,9.3,87.8,,,13,39.4,,136,677,3213,4.4,25.1,57.5,10.6,12.3,1.6,24.9
210,Verenigd Koninkrijk,Peldon,Peldon,2011,,,4,R1D4,0-25,2009,klei,wheat,wheat,8.63,8.63,,9.3,92.5,,,16.2,28.3,,127,687,3494,4.1,25.5,62.6,9.3,10.2,1.3,19.1
