ID,Year,Treatments,FertilizerP [kg/ha/yr],Manure [kg/ha],Pinput[kg/ha],maizegrain[kg/ha],maize straw[kg/ha],N concentration in maize grain[%],N concentration in maize straw[%],P concentration in maize grain[%],P concentration in maize straw[%],wheatgrain[kg/ha],wheat straw[kg/ha],N concentration in wheat grain[%],N concentration in wheat straw[%],P concentration in wheat grain[%],P concentration in wheat straw[%],Nuptake[kg/ha],Puptake[kg/ha],Psurplus[kg/ha],Oaccumulatedsurplus[kg/ha],SOC[g/kg],pH,OlsenP[mg/kg],TotalP[g/kg],CaCl2P[mg/kg],oxalateP[mg/kg],oxalateAl[mg/kg],oxalateCa[m/kg],oxalateFe[mg/kg],preci_sur[m/yr],totalp20-40[g/kg],puptakemaize[kg/ha],puptakewheat[kg/ha]
133,2002,CK,0,0,0,321,868.5,1,0.51 ,0.28,0.48,225,408.75,2.22,0.47 ,0.34,0.05,14.58816199,3.21435,-3.21435,-59.246625,8.457076566,5.9,3.3,0.41,NA,NA,NA,NA,NA,1.13,NA,2.244975,0.969375
320,2019,CK,0,0,0,151.7099188,610.3576144,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.354632979,0.04792078,#REF!,2.387731718,-2.387731718,-96.4096769,8.263038556,5.702647059,3.836944804,0.439143832,0.001,24.98,1070.2,47.56,2950,0.7,NA,1.054398615,1.333333103
136,2002,NK,0,0,0,388.5,310.5,1.16,1.18 ,0.23,1.2,132,256.5,2.67,0.89 ,0.34,0.06,13.97812609,1.80675,-1.80675,-148.356225,9.147331787,4.5,1.94,0.41,NA,NA,NA,NA,NA,1.13,NA,1.20405,0.6027
232,2011,CK,0,0,0,345.01725,532.526625,1.023188764,0.44 ,0.22,0.06,222.511125,636.4288787,2.113189917,0.49 ,0.37,0.05,13.6872096,2.220059527,-2.220059527,-83.70027305,8.162323068,5.64,3.00827,0.451281281,NA,NA,NA,NA,NA,0.32,0.431547373,1.078553925,1.141505602
199,2008,CK,0,0,0,362.2131818,1023.975,0.981617317,0.40 ,0.26,0.06,264,390,1.473550147,0.49 ,0.32,0.08,13.42120017,2.712939273,-2.712939273,-78.0450688,7.357888631,5.9,3.2,0.463,NA,NA,NA,NA,NA,0.6,0.345,1.556139273,1.1568
122,2001,CK,0,0,0,162,654,0.94,0.51 ,0.26,0.17,333,597.15,1.62,0.52 ,0.44,0.05,13.35798,3.296775,-3.296775,-56.032275,9.170533643,5.7,4.5,0.46,NA,NA,NA,NA,NA,0.62,NA,1.533,1.763775
177,2006,CK,0,0,0,145.5,524.25,0.946573836,0.57 ,0.35,0.135,367.257375,828,1.923858443,0.22 ,0.35,0.07,13.27084675,3.081988313,-3.081988313,-72.75196331,7.536217307,5.56,4.19,0.4241,NA,NA,NA,NA,NA,0.84,0.383244481,1.2169875,1.865000813
144,2003,CK,0,0,0,154.5,580.5,0.829073258,0.37 ,0.3,0.14,409.5,583.5,1.857511929,0.25 ,0.45,0.08,12.48452728,3.58575,-3.58575,-62.832375,8.381670534,5.4,6.9,0.41,NA,NA,NA,NA,NA,0.46,NA,1.2762,2.30955
309,2018,CK,0,0,0,117.55875,187.59375,0.934782183,0.63 ,0.245097797,0.094109383,320.3431272,805.1296364,2.443832687,0.27 ,0.40481851,0.018857491,12.312712,1.913312748,-1.913312748,-94.02194519,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.464677228,1.448635521
210,2009,CK,0,0,0,185.0925,612.2755102,1.045226079,0.45 ,0.29,0.03,254.2627125,586.9936339,2.208165531,0.33 ,0.17,0.03,12.23202738,1.328795604,-1.328795604,-79.3738644,8.0927175,5.64,3.00827,0.451281281,NA,NA,NA,NA,NA,0.51,0.431547373,0.720450903,0.608344701
