ID,Year,Treatments,FertilizerP [kg/ha/yr],Manure [kg/ha],Pinput[kg/ha],maizegrain[kg/ha],maize straw[kg/ha],N concentration in maize grain[%],N concentration in maize straw[%],P concentration in maize grain[%],P concentration in maize straw[%],wheatgrain[kg/ha],wheat straw[kg/ha],N concentration in wheat grain[%],N concentration in wheat straw[%],P concentration in wheat grain[%],P concentration in wheat straw[%],Nuptake[kg/ha],Puptake[kg/ha],Psurplus[kg/ha],Oaccumulatedsurplus[kg/ha],SOC[g/kg],pH,OlsenP[mg/kg],TotalP[g/kg],CaCl2P[mg/kg],oxalateP[mg/kg],oxalateAl[mg/kg],oxalateCa[m/kg],oxalateFe[mg/kg],preci_sur[m/yr],totalp20-40[g/kg],puptakemaize[kg/ha],puptakewheat[kg/ha]
246,2012,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.209692191,4.3025,2.6,0.412460008,NA,NA,NA,NA,NA,0.54,0.351118258,NA,NA
252,2012,NPKMR,52.3943662,158,210.3943662,NA,NA,6.251056603,1.14 ,0.68,0.25,1472.828362,2461.141684,2.571483175,0.38 ,0.51,0.14,NA,NA,NA,NA,14.948769,6.071,180.3002,1.851119775,NA,NA,NA,NA,NA,0.54,1.032802945,NA,10.957023
255,2013,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.714661888,4.085,2.24,0.337396824,0.001,110.9,1866,62.78,2471.2,0.22,0.215524337,NA,NA
257,2013,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.526617301,3.995,1.9525,0.378364035,0.182809493,90.88,1645.4,54.12,2765.2,0.22,0.229954873,NA,NA
266,2014,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.860394525,3.7925,2.63625,0.570866467,NA,NA,NA,NA,NA,0.56,0.446490798,NA,NA
268,2014,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.717021975,3.92,2.3275,0.417019802,NA,NA,NA,NA,NA,0.56,0.433853377,NA,NA
277,2015,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.359711463,3.915,3.0325,0.446578242,NA,NA,NA,NA,NA,1.58,0.472640677,NA,NA
279,2015,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.268148259,4.1325,2.2625,0.45567557,NA,NA,NA,NA,NA,1.58,0.368384616,NA,NA
285,2015,NPKMR,52.3943662,158,210.3943662,NA,NA,5.942180745,1.02 ,0.55,0.26,1552.062923,4118.287288,2.256244201,0.49 ,0.45,0.18,NA,NA,NA,NA,13.29958985,5.7525,190.535,1.363484868,NA,NA,NA,NA,NA,1.58,1.013893539,NA,14.39720027
288,2016,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.517109712,3.92,2.943333333,0.510290149,NA,NA,NA,NA,NA,0.7,0.41476908,NA,NA
290,2016,NK,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.273821407,4.115,4.11,0.480784094,NA,NA,NA,NA,NA,0.7,0.389626756,NA,NA
296,2016,NPKMR,52.3943662,158,210.3943662,NA,NA,7.310000175,1.82 ,0.49,0.28,1289.39552,3673.037964,2.664640175,0.39 ,0.45,0.2,NA,NA,NA,NA,14.69096587,5.878333333,251.5133333,2.08892419,NA,NA,NA,NA,NA,0.7,0.891477024,NA,13.14835577
299,2017,N,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353332169,-0.353332169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.222723766,0.130608403
301,2017,NK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740765945,-0.740765945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.562155147,0.178610798
307,2017,NPKMR,52.3943662,158,210.3943662,NA,NA,,,NA,NA,1526.465875,4663.310363,2.605414696,0.31 ,0.488731503,0.186296472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,16.1479023
310,2018,N,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353332169,-0.353332169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.222723766,0.130608403
312,2018,NK,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740765945,-0.740765945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.562155147,0.178610798
318,2018,NPKMR,52.3943662,158,210.3943662,NA,NA,,,NA,NA,1709.17642,3139.572209,2.546083868,0.46 ,0.473866178,0.153546965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,12.91992683
321,2019,N,0,0,0,NA,NA,#REF!,#REF!,NA,NA,NA,NA,#REF!,#REF!,NA,NA,NA,0.353332169,-0.353332169,NA,8.204210813,4.129088235,3.919599431,0.440741551,NA,NA,NA,NA,NA,NA,NA,0.222723766,0.130608403
323,2019,NK,0,0,0,NA,NA,#REF!,#REF!,NA,NA,NA,NA,#REF!,#REF!,NA,NA,NA,0.740765945,-0.740765945,NA,8.835515273,4.222058824,3.352302294,0.42487093,NA,NA,NA,NA,NA,NA,NA,0.562155147,0.178610798
129,2001,HNPKM,78.5915493,237,315.5915493,7615.5,6816,1.17,1.07 ,0.3,0.11,1126.5,2821.5,2.2,1.12 ,0.47,0.14,218.41635,39.58875,276.0027993,2899.507167,15.4350348,5.6,227.4,1.83,NA,NA,NA,NA,NA,0.62,NA,30.3441,9.24465
30,1992,HNPKM,78.5915493,237,315.5915493,5419.5,6144,1.23,1.82 ,0.32,0.38,2557.5,6429.75,2.590727349,0.70 ,0.48,0.15,289.5638463,59.298225,256.2933243,530.7517236,11.57,6.1,22.9,0.73,NA,NA,NA,NA,NA,0.83,NA,37.3776,21.920625
140,2002,HNPKM,78.5915493,237,315.5915493,7009.5,6222.75,1.23,1.82 ,0.32,1.11,2122.5,2965.5,3.16,0.70 ,0.59,0.15,287.2168496,48.735525,266.8560243,3166.363192,16.05568445,5.8,169.7,1.56,NA,NA,NA,NA,NA,1.13,NA,31.764525,16.971
162,2004,HNPKM,78.5915493,237,315.5915493,6336.75,6947.25,1.060975069,1.82 ,0.26,0.28,2268,4796.25,2.768311562,0.59 ,0.52,0.13,284.5850464,53.956575,261.6349743,3690.621115,21.23352668,5.43,193.99,1.9663,NA,NA,NA,NA,NA,0.71,1.1212,35.92785,18.028725
41,1993,HNPKM,78.5915493,237,315.5915493,5500.5,6000,1.23,1.82 ,0.32,0.46,2025,6937.5,2.590727349,0.70 ,0.48,0.15,277.6833792,65.32785,250.2636993,781.0154229,11.41,6.18,27.9,1.25,NA,NA,NA,NA,NA,0.65,NA,45.2016,20.12625
305,2017,HNPKM,78.5915493,237,315.5915493,7342.847441,6408.2025,1.497362814,1.30 ,0.307501831,0.168696361,1643.794491,4721.174356,3.335587002,0.58 ,0.493765907,0.109287783,275.1527413,46.6659583,268.925591,7321.790266,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,33.38979473,13.27616357
239,2011,HNPKM,78.5915493,237,315.5915493,6727.738857,7200.36,1.447448316,1.03 ,0.32,0.13,1852.737981,4070.8066,2.886071862,0.89 ,0.48,0.21,261.355622,48.33106851,267.2604808,5628.519747,14.32305971,5.935,209.320555,2.245538117,NA,NA,NA,NA,NA,0.32,1.402572747,30.88923234,17.44183617
195,2007,HNPKM,78.5915493,237,315.5915493,5670.48688,7193.25,1.23,1.82 ,0.32,0.105,1374.214111,3397.625,2.590727349,0.70 ,0.48,0.15,259.9539445,37.39113575,278.2004135,4514.864768,16.04907193,6.12,248.73,2.5166,4.164528544,1219,1650.6,53.26,4122,0.64,1.1493,25.69847052,11.69266523
85,1997,HNPKM,78.5915493,237,315.5915493,8490,7306.5,1.23,1.37 ,0.32,0.19,1311,2751,2.590727349,0.35 ,0.48,0.15,248.1189855,51.46965,264.1218993,1804.28162,15.3712297,5.9,51.4,1.72,NA,NA,NA,NA,NA,1.2,NA,41.05035,10.4193
74,1996,HNPKM,78.5915493,237,315.5915493,6000,5252.25,1.23,1.82 ,0.32,0.69,1594.5,4751.25,2.590727349,0.70 ,0.48,0.15,243.8238597,70.221,245.3705493,1540.159721,11.13689095,5.7,39.4,1.52,NA,NA,NA,NA,NA,0.79,NA,55.440525,14.780475
217,2009,HNPKM,78.5915493,237,315.5915493,6378.1875,6848.066091,1.291373428,1.06 ,0.3,0.06,2200.610025,3543.927188,2.703490312,0.63 ,0.26,0.14,236.5481858,33.92648628,281.665063,5079.033806,14.25345414,5.935,209.320555,2.245538117,NA,NA,NA,NA,NA,0.51,1.402572747,23.24340215,10.68308413
52,1994,HNPKM,78.5915493,237,315.5915493,4012.5,3545.25,1.32,1.82 ,0.32,0.54,2217,7852.5,2.87,0.70 ,0.41,0.15,235.8596273,52.8528,262.7387493,1043.754172,8.468677494,6.3,27.8,1.22,NA,NA,NA,NA,NA,1.05,NA,31.98435,20.86845
327,2019,HNPKM,78.5915493,237,315.5915493,5855.147989,5774.82368,#REF!,#REF!,0.309143204,0.330676946,1453.87313,3713.711329,#REF!,#REF!,0.466733849,0.154309493,#REF!,39.24246266,276.3490866,7869.989868,16.11233475,5.880794118,241.8906251,2.123274301,NA,NA,NA,NA,NA,NA,NA,26.72613552,12.51632714
63,1995,HNPKM,78.5915493,237,315.5915493,4960.5,5776.5,1.23,1.82 ,0.32,0.62,1840.5,2689.5,2.590727349,0.70 ,0.48,0.15,232.5795442,64.55655,251.0349993,1294.789171,14.21693735,6.5,53.1,1.14,NA,NA,NA,NA,NA,0.48,NA,51.6879,12.86865
316,2018,HNPKM,78.5915493,237,315.5915493,5710.35375,4502.25,1.495114204,1.57 ,0.386219044,0.184165613,1342.231098,3650.405689,2.887918469,0.91 ,0.474177226,0.19259258,227.805793,43.74103467,271.8505146,7593.640781,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,30.34606999,13.39496468
53,1994,NPKS,52.3943662,3.624,56.0183662,3625.5,3186.75,1.42,0.96 ,0.33,0.44,2638.5,7785,3.16,0.67 ,0.59,0.07,217.9057068,47.0025,9.015866197,79.06291479,8.120649652,5.3,22.8,0.62,NA,NA,NA,NA,NA,1.05,NA,25.98585,21.01665
315,2018,NPKM,52.3943662,158,210.3943662,6130.56375,4112.055,1.32080425,1.25 ,0.371029103,0.128386074,1814.13207,6846.086979,2.698616226,0.49 ,0.45876619,0.171502855,214.697426,48.08934083,162.3050254,4825.88016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,28.02548163,20.06385919
238,2011,NPKM,52.3943662,158,210.3943662,5820.922611,6300.315,1.356621306,0.83 ,0.25,0.13,2009.22744,3826.441313,2.716019886,0.75 ,0.45,0.16,214.4926807,37.90654561,172.4878206,3586.597423,12.49107263,5.815,127.05202,1.652044412,NA,NA,NA,NA,NA,0.32,0.627321082,22.74271603,15.16382958
107,1999,HNPKM,78.5915493,237,315.5915493,6669,5743.5,1.28,1.48 ,0.34,0.15,1485,1443,1.76,1.05 ,0.52,0.14,211.6545,41.03205,274.5594993,2343.672069,16.64733179,5.9,175.4,1.57,NA,NA,NA,NA,NA,0.54,NA,31.28985,9.7422
304,2017,NPKM,52.3943662,158,210.3943662,6108.038908,5762.88,1.386552323,0.88 ,0.295031147,0.172095898,1542.718913,4975.980087,2.97938216,0.59 ,0.501617506,0.111892194,210.8627548,41.2445788,169.1497874,4663.575135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,27.93829737,13.30628143
216,2009,NPKM,52.3943662,158,210.3943662,6303.15,5089.008138,1.327252283,0.98 ,0.3,0.04,2258.612925,2962.648125,2.665436926,0.49 ,0.25,0.08,208.1611525,28.96170407,181.4326621,3235.014735,12.42146706,5.815,127.05202,1.652044412,NA,NA,NA,NA,NA,0.51,0.627321082,20.94505326,8.016650813
205,2008,NPKM,52.3943662,158,210.3943662,5618.622857,5769.225,1.182165843,1.56 ,0.3,0.12,1509.75,2553,2.140241654,0.61 ,0.39,0.13,204.3092198,32.98586357,177.4085026,3053.582073,14.11832947,6.3,225,1.764,NA,NA,NA,NA,NA,0.6,0.659,23.77893857,9.206925
118,2000,HNPKM,78.5915493,237,315.5915493,6385.5,3781.5,1.44,1.49 ,0.31,0.23,1309.5,2748,2.07,0.98 ,0.45,0.05,202.3326,35.75925,279.8322993,2623.504368,15.77726218,6.1,114.5,1.62,3.980115459,1170.6,1775.2,51.34,2982,0.76,NA,28.4925,7.26675
19,1991,HNPKM,78.5915493,237,315.5915493,4852.5,3837.75,1.23,1.820023858,0.32,0.31,1410,4626.75,2.590727349,0.70 ,0.48,0.15,198.3175503,41.13315,274.4583993,274.4583993,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,27.425025,13.708125
96,1998,HNPKM,78.5915493,237,315.5915493,6750,7047,1.2,0.93 ,0.3,0.24,1368.75,4944,2.3,0.41 ,0.56,0.12,198.28875,50.7606,264.8309493,2069.112569,17.80742459,5.8,155.2,1.79,NA,NA,NA,NA,NA,0.72,NA,37.1628,13.5978
42,1993,NPKS,52.3943662,8.064,60.4583662,5395.5,6870,1.12,0.96 ,0.27,0.36,1560,4500,2.547514378,0.67 ,0.37,0.07,196.3691003,48.22185,12.2365162,70.04704859,8.45,5.03,18.6,0.58,NA,NA,NA,NA,NA,0.65,NA,39.29985,8.922
228,2010,HNPKM,78.5915493,237,315.5915493,4925.165077,6000.3,1.335964289,1.12 ,0.27,0.15,725.5401838,3953.972199,3.105275627,1.00 ,0.49,0.19,194.8911199,33.36608979,282.2254595,5361.259266,15.57664026,5.86,246.545,NA,NA,NA,NA,NA,NA,0.24,NA,22.29839571,11.06769408
282,2015,NPKM,52.3943662,158,210.3943662,5351.1801,6338.655,1.217139819,0.93 ,0.25,0.15,1290.338173,3960.384628,3.722160401,0.56 ,0.45,0.12,194.6126085,33.44491608,176.9494501,4315.220587,13.95540881,5.8625,194.6325,2.138649972,NA,NA,NA,NA,NA,1.58,0.985250952,22.88593275,10.55898333
161,2004,NPKM,52.3943662,158,210.3943662,5546.25,6012.75,1.035107687,0.91 ,0.28,0.23,2383.5,4713,2.553947869,0.41 ,0.51,0.18,192.6612624,49.998075,160.3962912,2352.338477,14.0087007,5.61,144.68,1.1726,NA,NA,NA,NA,NA,0.71,0.869,29.358825,20.63925
31,1992,NPKS,52.3943662,5.688,58.0823662,4384.5,5037,1.12,0.96 ,0.27,0.29,2149.5,5826.75,2.547514378,0.67 ,0.37,0.07,191.4411537,29.490375,28.5919912,57.81053239,8.46,5.8,8.7,0.31,NA,NA,NA,NA,NA,0.83,NA,17.4585,12.031875
84,1997,NPKM,52.3943662,158,210.3943662,5520,6036,1.16,1.44 ,0.31,0.15,1212,2349,2.433414613,0.36 ,0.45,0.13,188.8997851,34.6737,175.7206662,1159.503713,15.83526682,5.4,71.9,1.36,NA,NA,NA,NA,NA,1.2,NA,26.166,8.5077
283,2015,HNPKM,78.5915493,237,315.5915493,3894.197048,6473.52,1.275145918,1.05 ,0.27,0.19,1187.579523,4231.849781,3.377535273,0.69 ,0.44,0.14,186.9878354,33.96395962,281.6275897,6768.020526,15.92442651,5.74,255.83,2.672980938,NA,NA,NA,NA,NA,1.58,1.558907138,22.81402003,11.14993959
220,2009,M,0,158,158,5852.925,4834.666057,1.304561743,1.09 ,0.31,0.07,1854.592725,2546.555893,2.530247809,0.40 ,0.25,0.08,186.2514025,28.20206027,129.7979397,2109.739857,16.10053696,6.495,184.230035,1.777471343,NA,NA,NA,NA,NA,0.51,1.035995181,21.52833374,6.673726527
75,1996,NPKS,52.3943662,5.592,57.9863662,5550,4762.5,1.12,0.96 ,0.27,0.58,1743,4860,2.547514378,0.67 ,0.37,0.07,184.9882997,52.4586,5.527766197,100.4732472,8.700696056,4.6,33.2,0.66,NA,NA,NA,NA,NA,0.79,NA,42.6075,9.8511
151,2003,HNPKM,78.5915493,237,315.5915493,7818,6564,1.11059905,0.63 ,0.36,0.19,1911,3636,2.30318099,0.30 ,0.38,0.14,183.2497709,52.9686,262.6229493,3428.986141,19.4025522,5.7,237.3,1.45,NA,NA,NA,NA,NA,0.46,NA,40.6164,12.3522
139,2002,NPKM,52.3943662,158,210.3943662,7087.5,3849,1.16,0.91 ,0.31,1.02,1780.5,2442,2.88,0.57 ,0.41,0.13,182.6029035,40.33635,170.0580162,2024.718569,14.23433875,5.9,104.4,1.22,NA,NA,NA,NA,NA,1.13,NA,29.8617,10.47465
86,1997,NPKS,52.3943662,7.44,59.8343662,6481.5,6042,1.12,1.18 ,0.27,0.14,1311,1551,2.547514378,0.33 ,0.37,0.07,182.4046135,31.89525,27.9391162,128.4123634,10.03480278,4.6,36,0.78,NA,NA,NA,NA,NA,1.2,NA,25.95885,5.9364
128,2001,NPKM,52.3943662,158,210.3943662,7161,6717,1.05,0.90 ,0.29,0.16,1201.5,2766,2.1,0.74 ,0.42,0.12,181.14189,39.8796,170.5147662,1854.660553,14.35034803,5.7,191.6,1.45,NA,NA,NA,NA,NA,0.62,NA,31.5141,8.3655
173,2005,HNPKM,78.5915493,237,315.5915493,5520,7690.5,0.984670015,0.80 ,0.34,0.15,1554,5883,2.438489558,0.44 ,0.56,0.14,179.9351978,47.24235,268.3491993,3958.970314,12.76757541,5.86,299.31,1.8862,NA,NA,NA,NA,NA,0.71,1.0732,30.30375,16.9386
294,2016,HNPKM,78.5915493,237,315.5915493,5409.173824,3444.22125,1.354889526,0.89 ,0.29,0.06,1104.4168,4107.107473,3.105909933,0.96 ,0.47,0.19,177.822562,30.7474,284.8441493,7052.864675,14.91223915,6.08,289.5816667,2.79405864,NA,NA,NA,NA,NA,0.7,1.130385082,17.75313684,12.99426316
227,2010,NPKM,52.3943662,158,210.3943662,4387.223318,5400.27,1.32772471,0.98 ,0.3,0.13,875.1768966,4068.604748,2.713504007,1.04 ,0.48,0.17,177.4515772,31.29949813,179.0948681,3414.109603,13.28926336,5.395,150.731125,1.652044412,NA,NA,NA,NA,NA,0.24,NA,20.18202096,11.11747718
50,1994,NPK,52.3943662,0,52.3943662,3105,3600.75,1.47,1.01 ,0.28,0.39,2353.5,5745,2.38,0.68 ,0.35,0.06,176.9758326,34.421175,17.9731912,94.84808979,8.004640371,5.3,23.7,0.76,NA,NA,NA,NA,NA,1.05,NA,22.736925,11.68425
260,2013,NPKM,52.3943662,158,210.3943662,6361.1325,7667.325,1.086445059,0.66 ,0.22,0.04,1102.235843,2810.597096,3.33116889,0.70 ,0.41,0.14,176.3916948,25.51542439,184.8789418,3953.324672,14.58580482,5.75,180.6763,1.644112137,NA,NA,NA,NA,NA,0.22,0.665497497,17.0614215,8.454002889
184,2006,HNPKM,78.5915493,237,315.5915493,5328,4795.5,1.052557032,1.38 ,0.34,0.21,1240.516484,3761.25,2.783332396,0.48 ,0.51,0.09,174.727376,37.89750907,277.6940402,4236.664355,14.38153666,5.86,328.8675,2.016155186,NA,NA,NA,NA,NA,0.84,1.009630973,28.18575,9.711759066
25,1992,NP,52.3943662,0,52.3943662,3610.5,4107,1.23,1.14 ,0.27,0.11,2163,4858.5,2.385412302,0.65 ,0.32,0.07,174.4236501,21.93585,30.4585162,63.99383239,9.32,6.3,8.6,0.56,NA,NA,NA,NA,NA,0.83,NA,11.6133,10.32255
242,2011,M,0,158,158,5850.2925,5125.25625,1.422925104,0.75 ,0.26,0.15,1485.788571,2531.376563,2.627853044,0.49 ,0.49,0.09,173.3010144,32.45724778,125.5427522,2365.227552,16.17014253,6.495,184.230035,1.777471343,NA,NA,NA,NA,NA,0.32,1.035995181,22.89864488,9.558602906
326,2019,NPKM,52.3943662,158,210.3943662,5603.412927,4978.748766,#REF!,#REF!,0.291897908,0.30213063,1550.321431,3694.089236,#REF!,#REF!,0.449493879,0.139126055,#REF!,35.31787916,175.076487,5000.956647,13.9496773,5.842313725,169.8855823,1.629965218,4.46,1194.8,1612.2,53.54,3579.4,NA,NA,23.2098386,12.10804056
28,1992,NPK,52.3943662,0,52.3943662,4062,3969,1.15,1.01 ,0.27,0.25,2167.5,5133.75,2.34258194,0.68 ,0.31,0.06,172.3803719,27.7491,24.6452662,56.19563239,8.89,5.9,10.1,0.57,NA,NA,NA,NA,NA,0.83,NA,17.9496,9.7995
206,2008,HNPKM,78.5915493,237,315.5915493,3340.08271,6093.9,1.27371964,1.02 ,0.38,0.14,1586.25,3066,2.27265967,0.87 ,0.4,0.18,167.7578928,33.0875743,282.503975,4797.368743,16.26218097,6.1,347.2,2.403,NA,NA,NA,NA,NA,0.6,0.896,21.2237743,11.8638
293,2016,NPKM,52.3943662,158,210.3943662,5161.445096,3324.16125,1.355356486,0.99 ,0.29,0.07,1330.060503,3950.663156,2.991949494,0.63 ,0.51,0.18,167.3777101,31.1896059,179.2047603,4494.425347,12.4834383,5.863333333,220.0233333,2.055921048,NA,NA,NA,NA,NA,0.7,0.757680502,17.29510365,13.89450225
72,1996,NPK,52.3943662,0,52.3943662,5325,4387.5,1.15,1.01 ,0.27,0.51,1492.5,3780,2.34258194,0.68 ,0.31,0.06,166.1371824,43.6485,8.745866197,119.1126222,8.758700696,4.6,27.6,0.83,NA,NA,NA,NA,NA,0.79,NA,36.75375,6.89475
106,1999,NPKM,52.3943662,158,210.3943662,5901,5301.75,1.16,0.98 ,0.33,0.2,1551,1369.5,2.13,0.91 ,0.55,0.1,165.9075,39.9768,170.4175662,1500.932696,12.99303944,5.8,80.4,1.13,NA,NA,NA,NA,NA,0.54,NA,30.0768,9.9
51,1994,NPKM,52.3943662,158,210.3943662,3240,2900.25,1.47,0.91 ,0.41,0.49,2134.5,6873,2.44,0.57 ,0.31,0.13,165.5636706,43.047075,167.3472912,665.5118898,8.004640371,6.3,25.9,0.98,NA,NA,NA,NA,NA,1.05,NA,27.495225,15.55185
231,2010,M,0,158,158,2835.14175,3825.19125,1.334355625,1.27 ,0.29,0.22,1374.8625,3612.993141,2.941795117,1.03 ,0.41,0.16,163.9476655,28.0550571,129.9449429,2239.6848,14.74274279,6.49,130.5,NA,NA,NA,NA,NA,NA,0.24,NA,16.63733183,11.41772528
40,1993,NPKM,52.3943662,158,210.3943662,5298,4980,1.16,0.91 ,0.31,0.42,1335,4125,2.433414613,0.57 ,0.45,0.13,163.0168693,48.7098,161.6845662,498.1645986,10.41,6.25,23.8,1.1,NA,NA,NA,NA,NA,0.65,NA,37.3398,11.37
261,2013,HNPKM,78.5915493,237,315.5915493,5634.36,7327.665,1.135631933,0.74 ,0.22,0.11,839.6674811,2187.549339,3.11977176,0.68 ,0.38,0.16,159.1469119,27.14683887,288.4447104,6199.110837,18.1561835,5.785,244.84845,2.253013844,5.194034638,1214.2,1564.6,46.82,2670.2,0.22,0.931958091,20.4560235,6.690815371
308,2017,M,0,158,158,5343.411111,4322.16,1.331114817,0.72 ,0.298394107,0.230458585,1609.146484,4504.34993,2.430541244,0.37 ,0.448383293,0.13958544,158.2499877,39.4077733,118.5922267,3143.689452,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,25.90521265,13.50256065
18,1991,NPKM,52.3943662,158,210.3943662,3868.5,3724.5,1.16,0.912226901,0.31,0.28,2133,4743.75,2.433414613,0.57 ,0.45,0.13,157.9470718,38.186325,172.2080412,172.2080412,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,22.42095,15.765375
36,1993,NP,52.3943662,0,52.3943662,3166.5,4320,1.23,1.14 ,0.27,0.13,1455,5175,2.385412302,0.65 ,0.32,0.07,156.558904,22.44405,29.9503162,93.94414859,9.51,5.31,13.6,0.63,NA,NA,NA,NA,NA,0.65,NA,14.16555,8.2785
194,2007,NPKM,52.3943662,158,210.3943662,4444.947429,5820.75,1.16,0.91 ,0.31,0.095,1333.495427,3250,2.433414613,0.57 ,0.45,0.13,155.7387706,29.53477895,180.8595872,2876.17357,14.38491879,6.04,181.62,1.7063,2.51603592,1029.8,1602,53.76,3980.6,0.64,0.7017,19.30904953,10.22572942
319,2018,M,0,158,158,5517.7575,3121.56,1.242616249,1.30 ,0.372073855,0.162701586,1695.229213,2900.288129,2.131521414,0.33 ,0.451898917,0.148135112,154.845579,37.56602818,120.4339718,3264.123424,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,25.60896066,11.95706752
286,2015,M,0,158,158,3593.150241,5569.425,1.170036449,0.67 ,0.28,0.24,1196.076463,4582.811733,3.750840728,0.66 ,0.45,0.18,154.3718921,37.05884588,120.9411541,2893.284543,14.42737123,6.785,160.11,1.541296427,NA,NA,NA,NA,NA,1.58,0.907933831,23.42744067,13.6314052
47,1994,NP,52.3943662,0,52.3943662,3501,2169,1.44,1.14 ,0.26,0.14,1897.5,5734.5,2.2,0.65 ,0.33,0.07,154.1103485,22.4151,29.9792662,123.9234148,6.844547564,5.5,18.6,0.67,NA,NA,NA,NA,NA,1.05,NA,12.1392,10.2759
29,1992,NPKM,52.3943662,158,210.3943662,2973,3769.5,1.16,0.91 ,0.31,0.35,2121,5064.75,2.433414613,0.57 ,0.45,0.13,149.5177817,46.122375,164.2719912,336.4800324,10.78,6.2,21.7,0.7,NA,NA,NA,NA,NA,0.83,NA,29.9937,16.128675
39,1993,NPK,52.3943662,0,52.3943662,2973,5250,1.15,1.01 ,0.27,0.32,1380,4350,2.34258194,0.68 ,0.31,0.06,149.0282268,31.7151,20.6792662,76.87489859,9.19,5.26,20.9,0.65,NA,NA,NA,NA,NA,0.65,NA,24.8271,6.888
62,1995,NPKM,52.3943662,158,210.3943662,4207.5,5070.75,1.16,0.91 ,0.31,0.57,1680,2166,2.433414613,0.57 ,0.45,0.13,148.36093,52.322325,158.0720412,823.583931,8.039443155,6.9,35.5,0.97,NA,NA,NA,NA,NA,0.48,NA,41.946525,10.3758
61,1995,NPK,52.3943662,0,52.3943662,3859.5,4273.5,1.15,1.01 ,0.27,0.45,1800,2740.5,2.34258194,0.68 ,0.31,0.06,148.286569,36.8757,15.5186662,110.366756,9.883990719,5.2,11.7,0.66,NA,NA,NA,NA,NA,0.48,NA,29.6514,7.2243
20,1991,NPKS,52.3943662,3.216,55.6103662,3561,3040.5,1.12,0.958526741,0.27,0.21,2077.5,3864.75,2.547514378,0.67 ,0.37,0.07,148.0152518,26.391825,29.2185412,29.2185412,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,15.99975,10.392075
209,2008,M,0,158,158,5480.0145,4995,1.094951894,0.77 ,0.28,0.19,1183.5,2446.5,2.5953,0.69 ,0.39,0.17,146.1203144,33.6092406,124.3907594,1979.941918,15.33642691,6.8,29,1.335,NA,NA,NA,NA,NA,0.6,0.553,24.8345406,8.7747
55,1994,M,0,158,158,3975,2544,1.14,0.78 ,0.31,0.45,1714.5,6390,2.52,0.59 ,0.51,0.13,145.7694693,40.82145,117.17855,239.24065,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,23.7705,17.05095
69,1996,NP,52.3943662,0,52.3943662,3675,4012.5,1.23,1.14 ,0.27,0.22,1383,3217.5,2.385412302,0.65 ,0.32,0.07,144.8952366,25.42785,26.9665162,182.4681972,10.61484919,4.8,18.6,0.65,NA,NA,NA,NA,NA,0.79,NA,18.75,6.67785
