ID_new,longtitude,latitude,clay_missing1
"483",102.67,24.8,"0"
"484",102.67,24.8,"0"
"485",115.22,37.92,"9"
"486",115.22,37.92,"9"
"487",115.22,37.92,"9"
"488",115.22,37.92,"9"
"489",115.22,37.92,"9"
"490",115.22,37.92,"9"
"491",115.22,37.92,"9"
"492",115.22,37.92,"9"
"493",111.4,33.2,"20"
"494",111.4,33.2,"20"
"495",111.4,33.2,"20"
"496",111.4,33.2,"20"
"497",111.4,33.2,"20"
"498",111.4,33.2,"20"
"499",111.4,33.2,"20"
"500",111.4,33.2,"20"
"501",111.4,33.2,"20"
"502",111.4,33.2,"20"
"503",111.4,33.2,"20"
"504",111.4,33.2,"20"
"505",111.4,33.2,"20"
"506",111.4,33.2,"20"
"507",111.4,33.2,"20"
"508",111.4,33.2,"20"
"509",111.4,33.2,"20"
"510",111.4,33.2,"20"
"511",111.4,33.2,"20"
"512",111.4,33.2,"20"
"513",111.4,33.2,"20"
"514",111.4,33.2,"20"
"515",111.4,33.2,"20"
"516",111.4,33.2,"20"
"517",111.4,33.2,"20"
"548",108.67,31.08,"20"
"549",108.67,31.08,"20"
"550",108.67,31.08,"20"
"551",108.67,31.08,"20"
"552",108.67,31.08,"20"
"561",102.62,24.95,"23"
"562",102.62,24.95,"23"
"563",102.62,24.95,"23"
"564",102.62,24.95,"23"
"565",102.62,24.95,"23"
"566",102.62,24.95,"23"
"586",115.95,28.55,"21"
"587",115.95,28.55,"21"
"588",115.95,28.55,"21"
"589",115.95,28.55,"21"
"590",115.95,28.55,"21"
"591",115.95,28.55,"21"
"592",115.95,28.55,"21"
"593",115.95,28.55,"21"
"594",115.95,28.55,"21"
"595",115.95,28.55,"21"
"596",115.95,28.55,"21"
"597",115.95,28.55,"21"
"598",115.95,28.55,"21"
"599",115.95,28.55,"21"
"600",115.95,28.55,"21"
"601",115.95,28.55,"21"
"602",115.95,28.55,"21"
"603",115.95,28.55,"21"
"604",115.95,28.55,"21"
"605",115.95,28.55,"21"
"606",115.95,28.55,"21"
"607",115.95,28.55,"21"
"608",115.95,28.55,"21"
"609",115.95,28.55,"21"
"610",115.95,28.55,"21"
"611",115.95,28.55,"21"
"612",115.95,28.55,"21"
"613",115.95,28.55,"21"
"614",115.95,28.55,"21"
"615",115.95,28.55,"21"
"616",125.39,48.31,"23"
"617",125.39,48.31,"23"
"618",125.39,48.31,"23"
"619",125.39,48.31,"23"
"625",125.39,48.31,"23"
"626",125.39,48.31,"23"
"627",125.39,48.31,"23"
"628",125.39,48.31,"23"
"642",117.52,39.6,"19"
"643",117.94,28.46,"21"
"644",117.94,28.46,"21"
"645",117.94,28.46,"21"
"646",117.94,28.46,"21"
"647",117.94,28.46,"21"
"648",117.94,28.46,"21"
"649",117.94,28.46,"21"
"650",117.94,28.46,"21"
"651",117.94,28.46,"21"
"664",119.76,49.22,"21"
"674",118.68,31.97,"23"
"675",118.68,31.97,"23"
"676",118.68,31.97,"23"
"677",118.68,31.97,"23"
"678",118.68,31.97,"23"
"679",118.68,31.97,"23"
"752",132.17,46.6,"23"
"753",132.17,46.6,"23"
"754",132.17,46.6,"23"
"755",128.67,45.85,"23"
"756",128.67,45.85,"23"
"757",128.67,45.85,"23"
"758",128.2,43.33,"23"
"759",128.2,43.33,"23"
"760",128.2,43.33,"23"
"761",127.42,43.7,"18"
"762",127.42,43.7,"18"
"763",127.42,43.7,"18"
"764",,,
"765",,,
"766",,,
"767",,,
"773",113.08,28.18,"21"
"774",113.08,28.18,"21"
"775",113.08,28.18,"21"
"776",113.08,28.18,"21"
"777",113.08,28.18,"21"
"778",113.08,28.18,"21"
"779",113.13,29.14,"6"
"780",113.13,29.14,"6"
"781",113.12,28.18,"21"
"782",113.12,28.18,"21"
"783",113.12,28.18,"21"
"784",113.12,28.18,"21"
"785",113.12,28.18,"21"
"786",113.12,28.18,"21"
"787",113.02,28.4,"21"
"788",113.12,27.79,"22"
"789",112.36,28.56,"48"
"790",113.26,28.28,"21"
"791",125.29,43.83,"23"
"792",124.67,43.41,"23"
"793",124.51,43.26,"51"
"794",124.8,43.25,"23"
"795",125.48,44,"23"
"796",125.08,43.79,"19"
"797",126.25,45.1,"47"
"798",125.48,44,"23"
"799",125.66,44.08,"23"
"800",125.84,44.17,"21"
"811",123.29,41.89,"21"
"812",120.31,31.5,"21"
"813",111.5,29.13,"21"
"814",120.5,33.2,"18"
"815",119.73,32.28,"21"
"816",119.73,32.28,"21"
"817",120.31,31.5,"21"
"818",111.5,29.13,"21"
"819",120.5,33.2,"18"
"820",119.73,32.28,"21"
"821",119.73,32.28,"21"
"828",106.72,39.13,"21"
"829",106.72,39.13,"21"
"830",106.72,39.13,"21"
"831",106.72,39.13,"21"
"832",106.72,39.13,"21"
"833",106.37,38.86,"23"
"834",106.67,39.1,"21"
"835",106.72,39.13,"21"
"836",102.86,25.05,"21"
"837",113.64,28.17,"21"
"838",113.64,28.17,"21"
"839",111.35,25.27,"24"
"840",111.35,25.27,"24"
"841",110.53,29.12,"23"
"842",110.53,29.12,"23"
"843",109.41,29.72,"23"
"844",109.41,29.72,"23"
"871",120.61,30.45,"21"
"872",120.54,30.28,"17"
"873",120.14,30.26,"22"
"874",120.13,30.24,"22"
"875",120.05,30.28,"22"
"876",120.05,30.27,"48"
"877",119.77,30.24,"22"
"878",119.76,30.23,"20"
"879",120.21,30.49,"51"
"880",120.11,30.46,"21"
"881",120.08,30.3,"21"
"882",119.99,31.05,"0"
"883",119.96,31.09,"0"
"884",119.9,30.14,"50"
"885",119.88,30.15,"20"
"886",119.86,30.16,"20"
"887",119.03,30.52,"50"
"888",120.04,30.53,"21"
"889",120.23,30.6,"39"
"890",120.18,30.65,"21"
"891",120.18,30.65,"21"
"892",120.24,30.53,"21"
"893",120.24,30.56,"39"
"894",120.72,30.83,"39"
"895",120.67,30.84,"20"
"896",120.78,30.89,"21"
"897",120.77,30.88,"21"
"898",120.77,30.97,"23"
"899",120.92,31,"20"
"900",120.76,30.5,"21"
"901",120.76,30.53,"21"
"910",120.1536,30.2655,"50"
"911",120.1536,30.2655,"50"
"912",120.1536,30.2655,"50"
"913",120.1536,30.2655,"50"
"914",120.1536,30.2655,"50"
"915",120.1536,30.2655,"50"
"927",105.45,31.27,"21"
"928",105.45,31.27,"21"
"929",105.45,31.27,"21"
"930",105.45,31.27,"21"
"931",105.45,31.27,"21"
"932",105.45,31.27,"21"
"933",105.45,31.27,"21"
"934",105.45,31.27,"21"
"935",105.45,31.27,"21"
"936",105.45,31.27,"21"
"937",105.45,31.27,"21"
"938",123.6,41.83,"23"
"939",100.08,25.6,"22"
"940",100.08,25.6,"22"
"941",100.08,25.6,"22"
"942",100.08,25.6,"22"
"943",100.08,25.6,"22"
"944",100.08,25.6,"22"
"945",100.08,25.6,"22"
"946",100.08,25.6,"22"
"947",100.08,25.6,"22"
"948",100.08,25.6,"22"
"949",113.35,23.15,"21"
"957",119.4,31.72,"21"
"962",110,19.77,"21"
"963",109.82,19.52,"27"
"971",110.25,25.22,"50"
"972",110.26,25.32,"48"
"979",126.63,47.43,"19"
"980",126.63,47.43,"19"
"981",126.63,47.43,"19"
"982",126.63,47.43,"19"
"983",126.63,47.43,"19"
"984",118.61,32.49,"50"
"985",118.61,32.49,"50"
"986",118.61,32.49,"50"
"991",118.55,37.43,"17"
"992",118.55,37.43,"17"
"993",118.55,37.43,"17"
"994",118.55,37.43,"17"
"995",118.55,37.43,"17"
"996",118.55,37.43,"17"
"997",118.55,37.43,"17"
"998",118.55,37.43,"17"
"999",118.55,37.43,"17"
"1007",110.27,24.62,"48"
"1008",113.6,23.37,"20"
"1009",113.12,23.02,"21"
"1010",110.27,24.62,"48"
"1011",113.35,23.15,"21"
"1012",113.12,23.02,"21"
"1016",116.88,31.87,"21"
