"","lontitudee","latituden"
"291",115.65,39.02
"292",115.65,39.02
"293",106.72,39.13
"294",106.72,39.13
"295",106.72,39.13
"296",106.72,39.13
"297",106.72,39.13
"298",106.37,38.86
"299",106.67,39.1
"300",106.72,39.13
"301",118.71,32.21
"302",102.86,25.05
"303",102.73,24.7
"304",102.77,24.83
"305",102.73,24.7
"306",102.77,24.83
"307",117.53,25.01
"308",117.53,25.01
"309",117.53,25.01
"310",123.35,42.75
"311",120.76,30.76
"312",120.76,30.76
"313",121.01,30.68
"314",119.97,30.54
"315",120.56,30.63
"316",119.91,31.03
"317",120.68,30.51
"318",120.27,30.19
"319",113.64,28.17
"320",113.64,28.17
"321",111.35,25.27
"322",111.35,25.27
"323",110.53,29.12
"324",110.53,29.12
"325",109.41,29.72
"326",109.41,29.72
"327",110.18,20.33
"328",115.73,38.24
"329",119.62,29.01
"330",119.62,29.01
"331",119.62,29.01
"332",122.05,37.2
"333",115.55,34.83
"334",121.6,37.39
"335",117.11,36.44
"336",118.05,36.82
"337",117.31,36.56
"338",117.45,36.77
"339",118.49,36.69
"340",117.08,36.71
"341",117.17,36.98
"342",120.1,36.02
"343",115.58,35.07
"344",115.99,36.5
"345",115.99,36.5
"346",118.39,36.8
"347",115.22,37.92
"348",115.22,37.92
"349",115.22,37.92
"350",115.22,37.92
"351",115.22,37.92
"352",115.22,37.92
"353",115.22,37.92
"354",115.22,37.92
"355",106.66,26.5
"356",106.66,26.5
"357",106.66,26.5
"358",106.66,26.5
"359",106.66,26.5
"360",110.37,21.32
"361",113.25,23.16
"362",113.12,23.03
"363",102.69,24.82
"364",102.35,24.73
"365",101.5,25.07
"366",102.7,24.7
"367",103.69,27.05
"368",115.92,28.75
"369",116.21,28.7
"370",120.15,30.33
"371",120.15,30.33
"372",120.15,30.33
"373",120.15,30.33
"374",120.15,30.33
"375",110.34,25.42
"376",110.34,25.42
"377",102.82,23.64
"378",102.82,23.64
"379",105.47,26.2
"380",117.6,24.12
"381",117.6,24.12
"382",121.87,29.47
"383",120.58,32.37
"384",117.09,36.2
"385",117.09,36.2
"386",112.54,33.02
"387",109.48,36.59
"388",109.48,36.59
"389",110.2,20.05
"390",112.9,30.67
"391",112.9,30.67
"392",112.94,28.27
"393",116.31,40.1
"394",115.95,28.55
"395",115.95,28.55
"396",115.95,28.55
"397",115.95,28.55
"398",115.95,28.55
"399",115.95,28.55
"400",115.95,28.55
"401",115.95,28.55
"402",115.95,28.55
"403",115.95,28.55
"404",115.95,28.55
"405",115.95,28.55
"406",115.95,28.55
"407",115.95,28.55
"408",115.95,28.55
"409",102.11,26.89
"410",102.11,26.89
"411",102.11,26.89
"412",102.11,26.89
"413",102.11,26.89
"414",102.11,26.89
"415",117.07,28.26
"416",117.07,28.26
"417",117.07,28.26
"418",117.07,28.26
"419",117.07,28.26
"420",117.07,28.26
"421",117.07,28.26
"422",117.07,28.26
"423",110.2,20.05
"424",111.87,26.75
"425",117.07,28.26
"426",120.15,30.33
"427",107.55,29.75
"428",108.13,34.45
"429",113.63,34.75
"430",100.78,39.55
"431",116.35,37.44
"432",116.67,39.52
"433",114.53,38.09
"434",115.52,40.5
"435",119.76,49.22
"436",87.61,43.87
"437",124.82,43.51
"438",126.86,47.79
"439",113.3,23.18
"440",113.3,23.18
"441",113.3,23.18
"442",113.3,23.18
"443",113.3,23.18
"444",113.3,23.18
"445",113.3,23.18
"446",113.3,23.18
"447",113.3,23.18
"448",113.3,23.18
"449",113.3,23.18
"450",113.3,23.18
"451",117.65,35.5
"452",117.65,35.5
"453",117.65,35.5
"454",117.65,35.5
"455",117.65,35.5
"456",117.65,35.5
"457",117.65,35.5
"458",118.07,34.86
"459",118.07,34.86
"460",118.07,34.86
"461",118.07,34.86
"462",118.07,34.86
"463",118.07,34.86
"464",118.07,34.86
"465",116.43,28.62
"466",116.43,28.62
"467",116.43,28.62
"468",116.43,28.62
"469",116.43,28.62
"470",116.43,28.62
"471",116.43,28.62
"472",116.43,28.62
"473",119.34,26.13
"474",119.3,26.14
"475",119.34,26.13
"476",119.34,26.13
"477",119.34,26.13
"478",119.35,26.09
"479",119.35,26.09
"480",119.35,26
"481",119.35,26.03
"482",119.33,26.02
"483",119.29,26.02
"484",NA,NA
"485",NA,NA
"486",NA,NA
"487",NA,NA
"488",NA,NA
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",NA,NA
"493",118.33,30.42
"494",112.47,27.27
"495",106.23,30.02
"496",123.97,42.38
"497",116.32,40.23
"498",124.08,43.35
"499",108,34.28
"500",86.02,44.52
"501",119.34,26.13
